SELFIES	MW	LogP	TPSA	HBA	HBD	RotB
[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][#Branch2][N][C][=C][C][Branch1][#Branch2][N][C][C][C][C][C][C][Ring1][=Branch1][=N][C][=N][C][=N][N][Ring1][S][Ring1][Branch1][C][=C][Ring2][Ring1][#Branch1]	387.4690000000001	2.2599	127.3	8	3	5
[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][=Branch1][N][N][=C][C][=Branch1][C][=O][N][C][=C][C][Branch1][C][Br][=C][C][=C][Ring1][#Branch1][Ring1][O][C][=C][Ring2][Ring1][Ring1]	395.238	1.8648	113.65	5	3	3
[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch2][Ring1][Branch1][=C][N][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][C][=Branch1][C][=O][N][Ring2][Ring1][C]	387.4170000000001	1.9158	127.58999999999997	6	3	5
[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][=Branch1][N][N][=C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Ring1][O][C][=C][Ring2][Ring1][Ring1]	350.7870000000001	1.7557	113.65	5	3	3
[C][N][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][P][C][C][=Branch1][C][=O][N][C][=N][NH1][C][=C][C][=C][Branch1][N][N][C][C][C][S][Ring1][Branch1][=Branch1][C][=O][=O][C][=C][Ring1][S][Ring1][=N][C][=C][Ring2][Ring1][#Branch2]	413.5030000000002	2.3500000000000005	98.4	5	2	5
[C][C][=C][C][=C][Branch2][Ring1][P][C][C][=Branch1][C][=O][N][C][=N][NH1][C][=C][C][=C][Branch1][N][N][C][C][C][S][Ring1][Branch1][=Branch1][C][=O][=O][C][=C][Ring1][S][Ring1][=N][C][=C][Ring2][Ring1][#Branch2]	384.4610000000001	2.5924200000000006	95.16	4	2	4
[O][=C][Branch1][=N][C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][N][C][=N][NH1][C][=C][C][=C][Branch1][N][N][C][C][C][S][Ring1][Branch1][=Branch1][C][=O][=O][C][=C][Ring1][S][Ring1][=N]	388.4240000000002	2.4231000000000007	95.16	4	2	4
[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][NH1][N][=C][Branch1][#C][N][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#C][=C][Ring2][Ring1][Ring1]	322.41200000000003	3.590300000000002	61.02	3	2	6
[N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch2][Ring1][Branch1][=N][N][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][C][=Branch1][C][=O][N][Ring2][Ring1][Ring1]	331.3570000000001	0.6845000000000003	139.67	6	4	3
[C][C][Branch2][Ring1][Ring2][N][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][=C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Ring1][O]	363.8260000000001	2.7826000000000013	101.28999999999999	4	3	3
[N][C][=N][C][Branch2][Ring1][Ring2][N][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][=N][C][Branch1][O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring2][Ring1][=Branch2][N][=O]	400.42000000000013	2.4266999999999994	162.64999999999998	9	3	7
[C][C][C][C][=Branch1][C][=O][N][C][=N][NH1][C][=C][C][Branch1][C][Cl][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][S][Ring1][=N]	313.788	4.621900000000003	57.78	2	2	4
[C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch2][Ring1][=Branch1][=C][N][C][=C][C][=C][Branch1][#Branch2][C][N][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring1][=N][C][=Branch1][C][=O][N][C][Ring2][Ring1][#Branch1][=O]	418.4970000000003	3.353900000000001	90.53999999999999	5	3	5
[O][=C][Branch2][Ring1][Branch2][N][C][=N][NH1][C][=C][C][Branch1][Branch2][C][=C][C][=C][S][Ring1][Branch1][=C][C][=C][Ring1][=C][Ring1][O][C][C][C][Ring1][Ring1]	283.3560000000001	3.6399000000000017	57.78	3	2	3
[O][=C][Branch2][Ring1][P][N][C][=C][NH1][N][=C][Ring1][Branch1][C][=N][C][=C][C][=C][Branch1][#Branch2][C][N][C][C][O][C][C][Ring1][=Branch1][C][=C][Ring1][=N][NH1][Ring1][S][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1]	420.44800000000015	3.1766000000000014	98.93	5	3	5
[O][=C][Branch2][Ring1][P][N][C][=C][NH1][N][=C][Ring1][Branch1][C][=N][C][=C][C][Branch1][#Branch2][C][N][C][C][O][C][C][Ring1][=Branch1][=C][C][=C][Ring1][=N][NH1][Ring1][S][N][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][F]	453.4530000000001	3.7074000000000016	110.96000000000001	5	4	5
[C][C][Branch1][C][O][C][S][C][=N][C][Branch2][Ring1][Ring2][N][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][C][=Branch1][C][=N][=O][C][=C][Ring1][#Branch2][=N][C][=C][Ring1][P][Br]	417.3540000000001	3.4910700000000014	98.96	7	3	6
[C][N][C][C][C][Branch2][Ring1][P][C][=C][Branch1][C][O][C][=C][Branch1][C][O][C][=C][Ring1][Branch2][O][C][=Branch1][O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][C][Ring1][=N][=O][C][C][Ring2][Ring1][#Branch2]	385.84700000000015	4.176600000000002	70.0	5	2	2
[C][N][N][=C][Branch1][=Branch2][C][=Branch1][C][=O][N][C][C][O][C][=C][Ring1][O][C][=N][C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][=C][Ring1][=N][C][C][Ring1][P]	364.40900000000016	1.4414	104.96000000000001	7	3	5
[C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][C][=C][Ring1][=Branch2][C][=Branch2][Ring1][Branch1][=N][N][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][C][=Branch1][C][=O][N][Ring2][Ring1][C]	375.3660000000001	1.3189199999999999	156.79	7	3	4
[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][=Branch1][N][N][=C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][Ring1][O][C][=C][Ring2][Ring1][Ring1]	395.23800000000006	1.8648	113.65	5	3	3
[C][O][C][=C][C][Branch1][S][N][C][C][N][Branch1][=Branch1][C][Branch1][C][C][=O][C][C][Ring1][=Branch2][=C][C][=C][Ring1][#C][N][C][=N][C][=C][Branch1][C][F][C][Branch1][=C][C][=C][N][=C][C][=C][C][=C][N][Ring1][=Branch2][Ring1][=Branch1][=N][Ring1][S]	461.50100000000015	3.3511000000000015	87.89	8	1	5
[C][C][Branch1][C][C][C][Branch1][Ring1][C][O][N][C][=N][C][Branch1][=C][N][C][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][=C][N][=C][N][Branch1][=Branch1][C][Branch1][C][C][C][C][Ring1][Branch2][=N][Ring2][Ring1][Branch1]	384.4840000000001	3.1537000000000015	108.11999999999999	8	4	8
[C][#C][C][N][Branch2][Ring2][Ring2][C][=C][C][=N][C][Branch2][Ring1][Branch2][N][C][=C][C][=C][Branch1][=N][O][C][C][Branch1][C][O][C][N][Branch1][C][C][C][C][=C][Ring1][=C][=N][Ring2][Ring1][Branch1][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][Cl]	486.40300000000013	4.599600000000004	73.75	7	2	10
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][C][=C][C][=N][C][Branch1][C][N][=C][Branch1][P][C][=Branch1][C][=O][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][F][N][Ring1][S][C][=Ring2][Ring1][Ring2]	391.37700000000007	3.9651200000000015	77.46000000000001	5	1	4
[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][Branch2][N][N][=C][C][=Branch1][C][=O][N][C][=C][C][=C][NH1][N][=C][C][Ring1][Branch1][=C][Ring1][=Branch2][Ring1][=N][C][=C][Ring2][Ring1][Branch1]	356.3670000000001	0.9785999999999999	142.32999999999998	6	4	3
