CanonicalSMILES	MW	LogP	TPSA	HBA	HBD	RotB
[C][C][C][=N][N][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][N][Ring1][=Branch2][C][Branch1][C][C][C][N][Ring1][=C][C][=Branch1][C][=O][C][C][Branch1][C][N][C][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][F]	435.3720000000001	3.1385000000000005	77.04	5	1	4
[C][N][Branch1][C][C][C][=Branch1][C][=O][C][Branch2][Ring1][Branch2][C][=C][C][=C][Branch1][=C][C][C][=C][C][=N][C][=C][N][Ring1][Branch1][N][=Ring1][=Branch2][C][=C][Ring1][#C][C][Branch1][C][N][C][=Branch1][C][=O][N][C][C][C][Branch1][C][F][C][Ring1][=Branch1]	424.4800000000002	1.4658	96.83	6	1	5
[N][#C][C][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C][N][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]	347.46200000000005	3.312780000000002	56.13	3	1	7
[N][#C][C][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C][Branch1][C][N][C][C][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch2]	326.40000000000003	1.1508799999999997	90.43	4	1	4
[C][O][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][O][C][C][Branch1][=Branch1][C][Branch1][C][C][C][N][Branch2][Ring1][Branch2][C][=Branch1][C][=O][C][C][C][Branch1][C][N][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1][C][#N][C][C][Ring2][Ring1][N]	442.56000000000034	2.40768	108.89	6	1	7
[N][#C][C][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C][Branch1][C][N][C][C][C][=Branch1][C][=O][N][C][C][C][C][C][Ring1][Branch1]	292.3830000000001	0.6672799999999997	99.22	4	2	5
[N][C][Branch1][N][C][=Branch1][C][=O][N][C][C][S][C][Ring1][Branch1][C][C][C][C][Branch2][Ring1][Ring2][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][Ring2][Ring1][C]	383.5170000000001	2.5985000000000005	75.43	4	2	4
[C][C][C][C][=Branch1][C][=O][N][C][C][Branch1][C][C][C][N][Ring1][=Branch2][C][=Branch1][C][=O][C][C][Branch1][C][N][C][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][F]	371.403	1.7369	75.43	3	2	5
[C][C][C][=Branch1][C][=O][N][Branch1][=N][C][C][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][N][Ring2][Ring1][C][C][=Branch1][C][=O][C][C][Branch1][C][N][C][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][F]	477.5270000000002	3.03	75.87	4	1	9
[C][C][=C][C][Branch1][=Branch2][S][Branch1][C][C][=Branch1][C][=O][=O][=C][C][=C][Ring1][#Branch2][C][=N][O][C][Branch2][Ring1][N][C][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][C][Branch1][C][N][C][=Branch1][C][=O][N][C][C][C][Branch1][C][F][C][Ring1][=Branch1][=N][Ring2][Ring1][Ring2]	450.5360000000003	2.22992	119.39	7	1	7
[C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring2][#Branch1][C][=N][O][C][Branch2][Ring1][N][C][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][C][Branch1][C][N][C][=Branch1][C][=O][N][C][C][C][Branch1][C][F][C][Ring1][=Branch1][=N][Ring2][Ring1][Ring2][C][=C][Ring2][Ring1][#Branch2]	436.5090000000002	1.9215	119.39	7	1	7
