CanonicalSMILES	MW	LogP	TPSA	HBA	HBD	RotB
[C][C][O][C][=N][C][=C][C][=C][C][Branch2][Ring1][Branch2][C][=Branch1][C][=O][O][C][Branch1][C][C][O][C][=Branch1][C][=O][O][C][C][C][C][C][C][Ring1][=Branch1][=C][Ring2][Ring1][Branch1][N][Ring2][Ring1][Branch2][C][C][=C][C][=C][Branch1][S][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][=N][NH1][N][=Ring1][Branch1][C][=C][Ring1][P]	610.6710000000002	6.319100000000007	143.33999999999995	11	1	10
[C][C][Branch1][C][C][Branch2][=Branch1][#Branch1][O][C][=C][C][=C][C][Branch2][Branch1][#Branch2][C][C][C][N][Branch2][Ring1][N][C][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=Branch1][C][=O][C][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][=C][Ring2][Ring2][=Branch1][C][=Branch1][C][=O][O]	649.5500000000003	8.189100000000009	66.84	3	1	11
[C][C][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][=Ring1][O][C][C][O][C][=C][C][=C][Branch2][Ring1][C][C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][N][C][C][O][C][C][Ring1][=Branch1][C][=C][Ring1][P]	436.50800000000027	3.599420000000001	85.03	6	1	9
[C][N][C][Branch2][Ring2][Ring1][C][C][=C][C][=C][Branch2][Ring1][=Branch1][O][C][C][C][N][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=Ring1][O][C][C][=C][Ring2][Ring1][Branch1][C][=Branch1][C][=O][O]	380.4440000000001	3.486620000000002	84.59	5	2	9
[C][C][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][=Ring1][O][C][C][O][C][=C][C][=C][Branch2][Ring1][Ring1][C][C][Branch1][#Branch2][N][C][=N][C][=C][C][=N][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=C][Ring2][Ring1][C]	444.4910000000001	4.169320000000002	110.37000000000002	7	2	10
[C][C][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][=Ring1][O][C][C][O][C][=C][C][=C][Branch2][Ring1][Ring1][C][C][Branch1][#Branch2][N][S][Branch1][C][C][=Branch1][C][=O][=O][C][=Branch1][C][=O][O][C][=C][Ring1][S]	444.5090000000001	2.81642	118.73	6	2	10
[C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Branch2][Ring2][Ring1][C][C][=C][C][=C][Branch2][Ring1][=Branch1][O][C][C][C][N][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=Ring1][O][C][C][=C][Ring2][Ring1][Branch1][C][=Branch1][C][=O][O]	500.5510000000003	5.165920000000004	110.89	7	2	11
[C][C][=C][C][Branch2][Branch1][O][O][C][C][=N][C][Branch2][Ring1][Branch2][C][=C][C][=C][Branch1][=C][C][=Branch1][C][=O][N][Branch1][C][C][C][Branch1][C][C][C][C][=C][Ring1][=N][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][#Branch2][O][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][O][S][Ring2][Ring1][=N][=C][C][=C][Ring2][Ring2][Branch1][O][C][C][=Branch1][C][=O][O]	614.6420000000002	7.206920000000005	98.19	7	1	11
[C][C][=C][C][Branch2][Branch1][#Branch2][O][C][C][=N][C][Branch2][Ring1][#Branch1][C][=C][C][=C][Branch1][=N][C][=Branch1][C][=O][N][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring1][=C][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][#Branch2][O][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][O][S][Ring2][Ring1][=C][=C][C][=C][Ring2][Ring2][=Branch1][O][C][C][=Branch1][C][=O][O]	626.6530000000001	7.352620000000006	98.19	7	1	10
[C][C][=C][C][Branch2][Branch1][O][O][C][C][=N][C][Branch2][Ring1][Branch2][C][=C][C][=C][Branch1][=C][C][=Branch1][C][=O][N][Branch1][C][C][C][Branch1][C][C][C][C][=C][Ring1][=N][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][#Branch2][O][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][O][O][Ring2][Ring1][=N][=C][C][=C][Ring2][Ring2][Branch1][O][C][C][=Branch1][C][=O][O]	598.5740000000002	6.738420000000006	111.33	7	1	11
[C][C][=C][C][Branch2][Branch1][=Branch1][O][C][C][=N][C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1][N][=C][Ring1][N][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][#Branch2][O][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][O][O][Ring2][Ring1][N][=C][C][=C][Ring2][Ring2][Ring2][O][C][C][=Branch1][C][=O][O]	585.5350000000001	5.489620000000006	116.38	9	1	10
