CanonicalSMILES	MW	LogP	TPSA	HBA	HBD	RotB
NS(=O)(=O)C1=CC=C(NN=C2C(=O)NC3=CC(Br)=CC=C32)C=C1	395.238	1.8648	113.65	5	3	3
CCOC(=O)C1=CC=CC2=C1C(=CNC3=CC=C(S(N)(=O)=O)C=C3)C(=O)N2	387.4170000000001	1.9158	127.58999999999996	6	3	5
NS(=O)(=O)C1=CC=C(NN=C2C(=O)NC3=CC=C(Cl)C=C32)C=C1	350.7870000000001	1.7557	113.65	5	3	3
CN(C)C1=CC=C(CC(=O)NC2=N[NH1]C3=CC=C(N4CCCS4(=O)=O)C=C23)C=C1	413.5030000000002	2.3500000000000005	98.4	5	2	5
CC1=CC=C(CC(=O)NC2=N[NH1]C3=CC=C(N4CCCS4(=O)=O)C=C23)C=C1	384.4610000000001	2.5924200000000006	95.16	4	2	4
O=C(CC1=CC=C(F)C=C1)NC2=N[NH1]C3=CC=C(N4CCCS4(=O)=O)C=C23	388.4240000000002	2.4231000000000007	95.16	4	2	4
CCN(CC)C1=CC=C2[NH1]N=C(NC(=O)CC3=CC=CC=C3)C2=C1	322.41200000000003	3.590300000000002	61.02	3	2	6
NC1=CC=C2C(=C1)C(=NNC3=CC=C(S(N)(=O)=O)C=C3)C(=O)N2	331.3570000000001	0.6845000000000003	139.67	6	4	3
CC(NC1=CC=C(S(N)(=O)=O)C=C1)=C2C(=O)NC3=CC=C(Cl)C=C32	363.8260000000001	2.7826000000000013	101.29	4	3	3
NC1=NC(N)=C(N=O)C(=O)[NH1]1	155.11700000000002	-0.6678000000000004	127.21999999999996	6	3	1
NC1=NC(NC2=CC=C(S(N)(=O)=O)C=C2)=NC(OCC3=CC=CC=C3)=C1N=O	400.4200000000001	2.4266999999999994	162.64999999999998	9	3	7
CCCC(=O)NC1=N[NH1]C2=CC(Cl)=C(C3=CC=CC=C3)C=C12	313.788	4.621900000000003	57.78	2	2	4
CC(=O)NC1=CC=C2C(=C1)C(=CNC3=CC=C(CN4CCCCC4)C=C3)C(=O)NC2=O	418.4970000000003	3.353900000000001	90.54	5	3	5
O=C(NC1=N[NH1]C2=CC(C3=CC=CS3)=CC=C12)C4CC4	283.3560000000001	3.6399000000000017	57.78	3	2	3
O=C(NC1=C[NH1]N=C1C2=NC3=CC=C(CN4CCOCC4)C=C3[NH1]2)C5=CC=C(F)C=C5	420.44800000000015	3.176600000000001	98.93	5	3	5
O=C(NC1=C[NH1]N=C1C2=NC3=CC(CN4CCOCC4)=CC=C3[NH1]2)NC5=C(F)C=CC=C5F	453.4530000000001	3.7074000000000016	110.96	5	4	5
CN1CCC(C2=C(O)C=C(O)C3=C2OC(=CC4=CC=CC=C4Cl)C3=O)CC1	385.84700000000015	4.176600000000002	70.0	5	2	2
CN1N=C(C(=O)NCCO)C2=C1C3=NC(NC4=CC=CC=C4)=NC=C3CC2	364.40900000000016	1.4414	104.96	7	3	5
CC1=C([N+1](=O)[O-1])C=CC2=C1C(=NNC3=CC=C(S(N)(=O)=O)C=C3)C(=O)N2	375.3660000000001	1.31892	156.79	7	3	4
NS(=O)(=O)C1=CC=C(NN=C2C(=O)NC3=CC=C(Br)C=C32)C=C1	395.23800000000006	1.8648	113.65	5	3	3
C#CCN(C1=CC=NC(NC2=CC=C(OCC(O)CN(C)C)C=C2)=N1)C3=CC(Cl)=CC=C3Cl	486.4030000000001	4.599600000000004	73.75	7	2	10
CC1=CC=CC=C1C(=O)C=2C=CC3=NC(N)=C(C(=O)C4=C(F)C=CC=C4F)N3C=2	391.37700000000007	3.9651200000000015	77.46000000000001	5	1	4
NS(=O)(=O)C1=CC=C(NN=C2C(=O)NC3=CC=C4[NH1]N=CC4=C32)C=C1	356.3670000000001	0.9786	142.32999999999998	6	4	3
NC=1N=C2C=CC(C(=O)C3=C(F)C=CC=C3F)=CN2C=1C(=O)C4=CC=CS4	383.3790000000001	3.718200000000001	77.46000000000001	6	1	4
CC(=O)N1CCC(N2C=C(NC3=NC=C(Cl)C(C4=CN=C5C=CC=CN45)=N3)C=N2)CC1	436.9070000000002	3.568200000000002	93.24	8	1	4
CC(=O)N1CCC(N2N=CC(NC3=NC=C(Cl)C(C=4C=NN5C=CC=CC=45)=N3)=C2C)CC1	450.93400000000025	3.8766200000000026	93.24	8	1	4
