CanonicalSMILES	MW	LogP	TPSA	HBA	HBD	RotB
CC1C2=NN=C(C(F)(F)F)N2C(C)CN1C(=O)CC(N)CC3=CC(F)=C(F)C=C3F	435.3720000000001	3.1385000000000005	77.04	5	1	4
CN(C)C(=O)C(C1=CC=C(C=2C=CC3=NC=CN3N=2)C=C1)C(N)C(=O)N4CCC(F)C4	424.4800000000002	1.4658	96.83	6	1	5
N#CC1CCCN1C(=O)CNCCC(C2=CC=CC=C2)C3=CC=CC=C3	347.46200000000005	3.312780000000002	56.13	3	1	7
N#CC1CCCN1C(=O)C(N)CCC(=O)N2CC3=CC=CC=C3C2	326.40000000000003	1.1508799999999997	90.43	4	1	4
COC1=CC2=C(C=C1OC)C(C(C)C)N(C(=O)CCC(N)C(=O)N3CCCC3C#N)CC2	442.56000000000034	2.40768	108.89	6	1	7
N#CC1CCCN1C(=O)C(N)CCC(=O)NC2CCCC2	292.3830000000001	0.6672799999999997	99.22	4	2	5
NC(C(=O)N1CCSC1)C2CCC(NC(=O)C3=CC=CC4=CC=CC=C34)C2	383.5170000000001	2.5985000000000005	75.43	4	2	4
CCC1C(=O)NCC(C)CN1C(=O)CC(N)CC2=CC(F)=C(F)C=C2F	371.403	1.7369	75.43	3	2	5
CC1C(=O)N(CCOCC2=CC=CC=C2)CCCN1C(=O)CC(N)CC3=CC(F)=C(F)C=C3F	477.5270000000002	3.03	75.87	4	1	9
CC1=CC(S(C)(=O)=O)=CC=C1C2=NOC(C(CC3CC3)C(N)C(=O)N4CCC(F)C4)=N2	450.5360000000003	2.22992	119.39	7	1	7
CS(=O)(=O)C1=CC=C(C2=NOC(C(CC3CC3)C(N)C(=O)N4CCC(F)C4)=N2)C=C1	436.5090000000002	1.9215	119.39	7	1	7
NC(C(=O)N1CCC(F)C1)C2CCC(NC(=O)C3=CC=CC=C3C(F)(F)F)CC2	415.4310000000001	2.891700000000002	75.43	3	2	4
CC(C)(CC(=O)N1CCCC1)NCC(=O)N2CC(F)CC2C#N	324.40000000000003	0.8296800000000002	76.44	4	1	5
C=COCC(=O)N1CCN(C(=O)CC(N)CC2=CC=CC=C2F)CC1	349.40600000000006	0.9165	75.87	4	1	7
COC1=CC=C2C(=C1)CNC(C(=O)N3CCCC3C#N)C2	285.34700000000004	1.2240799999999996	65.36	4	1	2
COC1=CC=C(NC(=O)OC2CCC(C(N)C(=O)N3CCCC3)C2)C=C1	361.4420000000002	2.3621	93.89	5	2	5
NC(C(=O)N1CCC(F)C1)C(C(=O)O)C2=CC=C(C3=CC=C(F)C=C3)C=C2	374.38700000000006	2.558600000000001	83.63000000000001	3	2	5
NC(C(=O)N1CCC(F)C1)C(C(=O)NCCO)C2=CC=C(C3=CC=C(F)C=C3)C=C2	417.4560000000001	1.5824999999999998	95.66	4	3	7
CC(C)(C)C(N)C(=O)N1CCCC1B(O)O	228.101	-0.637199999999999	86.79	4	3	2
N#CC1CCCN1C(=O)CNC2CCCCCCCCCCC2	319.49300000000017	3.763880000000002	56.13	3	1	3
N#CC1CCCN1C(=O)CNCCC2=CC=CC=C2	257.337	1.3332799999999996	56.13	3	1	5
NC(C(=O)N1CCC(F)(F)C1)C2CCC(NC(=O)OCC3=CC=CC=C3)CC2	395.45000000000016	2.6665	84.66000000000001	4	2	5
CC(N)C(=O)NC1=CC=C(OP(=O)(OC2=CC=C(NC(=O)C(C)N)C=C2)C3CCCN3C(=O)C4CCCN4)C=C1	572.6030000000002	2.6094	178.11000000000004	9	5	10
CC(C1=CC=C(C2=CC=CC=C2)C=C1)C(N)C(=O)N3CCC(F)C3	326.41500000000013	3.354800000000002	46.330000000000005	2	1	4
CC=1C=CN2N=C3C(=C2N=1)CN(C4CCC(C5=CC(F)=C(F)C=C5F)C(N)C4)C3	401.43600000000015	3.4342200000000016	59.45	5	1	2
CC1=CC(C(F)(F)F)=NC2=C3C(=NN12)CN(C4CCC(C5=CC(F)=C(F)C=C5F)C(N)C4)C3	469.4330000000002	4.453020000000003	59.45	5	1	2
CC1=CC=NC2=C3C(=NN12)CN(C4COC(C5=CC(F)=C(F)C=C5F)C(N)C4)C3	403.4080000000001	2.628120000000001	68.67999999999999	6	1	2
CC1=CC=NC2=C3C(=NN12)CN(C4CCC(C5=CC(F)=C(F)C=C5F)C(N)C4)C3	401.43600000000015	3.4342200000000016	59.45	5	1	2
NC1CC(N2CC3=NN4C=CC(C(F)(F)F)=NC4=C3C2)CCC1C5=CC(F)=C(F)C=C5F	455.4060000000002	4.144600000000003	59.45	5	1	2
NC1CC(N2CC3=NN4C=CC=NC4=C3C2)COC1C5=CC(F)=CC=C5F	371.3910000000001	2.1806	68.68	6	1	2
CC=1C=C2N=CC3=C(N2N=1)CN(C4COC(C5=CC(F)=C(F)C=C5F)C(N)C4)C3	403.4080000000001	2.628120000000001	68.67999999999999	6	1	2
N#CC1CCCN1C(=O)CNC23CC4CC(CC(O)(C4)C2)C3	303.4060000000001	1.1742799999999989	76.36	4	2	3
CC(C1=NC(C2=CC=C(S(N)(=O)=O)C=C2)=NO1)C(N)C(=O)N3CCCC3	379.4420000000002	0.4372000000000005	145.41	7	2	5
CC(C1=NC(C2=CC=C(NS(C)(=O)=O)C=C2Cl)=NO1)C(N)C(=O)N3CCC(F)(F)C3	463.8940000000002	2.0599	131.42000000000002	7	2	6
CC(C1=NC(C2=CC=C(Cl)C=C2Cl)=CO1)C(N)C(=O)N3CCCC3	368.2640000000002	3.7016000000000018	72.36	4	1	4
CC(C1=CC=C(C2=CC(F)=CC=C2F)C=C1)C(N)C(=O)N3CCC(F)C3	362.39500000000015	3.633000000000002	46.330000000000005	2	1	4
COC1=CC=C2C(=C1)CCN(C(=O)CC(N)C(=O)N3CCCC3C#N)C2C(C)(C)C	412.5340000000002	2.3990800000000005	99.66	5	1	4
COC1=CC=C(CC2C3=NN=C(C(F)(F)F)N3CCN2C(=O)CC(N)CC4=CC(F)=C(F)C=C4F)C=C1	527.4690000000003	3.808900000000002	86.27000000000001	6	1	7
CC1CCN(C(=O)CC(N)CC2=CC(F)=C(F)C=C2F)C(C)C(=O)N1	357.376	1.4893	75.42999999999999	3	2	4
CC1CNC(=O)C(C)N(C(=O)CC(N)CC2=CC(F)=C(F)C=C2F)C1	357.37600000000003	1.3468000000000004	75.43	3	2	4
NC(CCC(=O)N1CC2=CC=CC=C2C1)C(=O)N3CCSC3	319.4300000000001	1.1691999999999998	66.64	4	1	4
CN(C)C(=O)C(C1=CC=C(C2=CC=C(F)C=C2F)C=C1)C(N)C(=O)N3CCC(F)C3	419.4470000000002	2.7013000000000007	66.64	3	1	5
CC(C)(C)C(N)C(=O)N1CCCC1C#N	209.29299999999995	0.8743799999999998	70.12	3	1	1
N#CC1=CC=CC=C1CC(N)CC(=O)N2CCSC2	275.37699999999995	1.35108	70.11999999999999	4	1	4
N#CC1=CC=CC=C1CN2C(N3CCCC(N)C3)=NC=4SC=CC=4C2=O	365.4620000000001	2.30548	87.94	7	1	3
CC(C)=CCN1C(N2CCCC(N)C2)=NC3=C1C(=O)N(CC4=NC=NC5=CC=CC=C45)C(=O)N3C	474.5690000000002	1.7818999999999998	116.86	10	1	5
CC#CCN1C(N2CCCC(N)C2)=NC3=C1C(=O)N(CC4=CC(=O)N(C)C5=CC=CC=C45)C(=O)N3C	487.56400000000025	0.747700000000002	113.08	10	1	4
COC1=CC=CC(C(=O)CN2C(=O)C3=C(N=C(N4CCCC(N)C4)N3CC=C(C)C)N(C)C2=O)=C1OC	510.5950000000004	1.6905000000000003	126.61	11	1	8
CC#CCN1C(N2CCCC(N)C2)=NC3=C1C(=O)N(CC(=O)C4=CC=CC5=C4OCO5)C(=O)N3C	478.5090000000003	0.4591000000000018	126.61	11	1	5
CC=CCN1C(N2CCCC(N)C2)=NC3=C1C(=O)N(CC(=O)C4=CC=CC=C4NC(=O)C(C)C)C(=O)N3C	521.6220000000003	1.8777	137.25	10	2	8
CC#CCN1C(N2CCCC(N)C2)=NC3=C1C(=O)N(CC(=O)C4=CC=CC=C4C5=CC=CC=C5)C(=O)N3C	510.5980000000002	2.397400000000001	108.15	9	1	6
NCC1=C(N)N=C(C2=CC=CC(Cl)=C2)N=C1C3=CC=C(Cl)C=C3Cl	379.6780000000001	4.811700000000002	77.82000000000001	4	2	3
COC1=CC=CC(C2=NC(N)=C(CN)C(C3=CC=C(Cl)C=C3Cl)=N2)=C1	375.25900000000007	4.166900000000002	87.05	5	2	4
CCC(C)C(N)C(=O)N1CC(F)CC1C#N	227.283	0.82238	70.12	3	1	3
CC(=O)NC1=CC=CC(OP(=O)(OC2=CC=CC(NC(C)=O)=C2)C3CCCN3C(=O)C4CCCN4)=C1	514.5190000000003	3.9548000000000014	126.07	7	3	8
NC(CC(=O)N1CCNCC1CC2=CC=CC=C2)CC3=CC=CC=C3F	355.4570000000001	2.1287000000000003	58.36000000000001	3	2	6
N#CC1=CC=CC=C1CN2C(N3CCCC(N)C3)=NC=4C=CSC=4C2=O	365.4620000000001	2.30548	87.94	7	1	3
NC(C(=O)N1CCCC1)C2CCC(NC(=O)NC3=CC=CC4=CC=CC=C34)C2	380.4920000000001	3.0797000000000008	87.46000000000001	3	3	4
NC(CC(=O)N1CCC2C(CCC3=NN=C(C(F)(F)F)N32)C1)CC4=CC(F)=C(F)C=C4F	461.41000000000014	3.0101000000000013	77.04000000000002	5	1	4
O=C(CO)NC(CC(=O)N1CCN2C(=NN=C2C(F)(F)F)C1)CC3=CC(F)=C(F)C=C3F	465.3540000000001	1.1662999999999994	100.35	6	2	6
NCC1=C(N)N=C(C2=CC=CC=C2)N=C1C3=CC=C4C(=C3)OCO4	320.35200000000015	2.5802000000000005	96.28000000000002	6	2	3
NC(C(=O)N1CCSC1)C2CCC(NC(=O)C3=CC=C(I)C=C3)CC2	473.3800000000001	2.4400000000000004	75.43	4	2	4
NC1CCC(C(N)C(=O)N2CCSC2)CC1	243.37599999999992	0.3640999999999996	72.35	4	2	2
NC(CC(=O)N1CCC2=C(N=C(C3=CC=CO3)N=C2C(F)(F)F)C1)CN4C(=O)CCC(F)(F)C4O	503.4280000000003	1.9336	125.79	7	2	5
CCCS(=O)(=O)N1C=C2C(=N1)CN(C3COC(C4=CC(F)=CC=C4F)C(N)C3)C2	426.48900000000015	1.9223	90.45	7	1	5
CC(C)S(=O)(=O)N1C=C2C(=N1)CN(C3COC(C4=CC(F)=CC=C4F)C(N)C3)C2	426.48900000000015	1.9207	90.45	7	1	4
NC1CC2=C(C=CC3=CC(Br)=CC=C23)OC1C4=CC(F)=C(F)C=C4F	408.217	5.023100000000002	35.25	2	1	1
COC1=CC=C2C3=C(C=CC2=C1)OC(C4=CC(F)=C(F)C=C4F)C(N)C3	359.3470000000001	4.269200000000002	44.48	3	1	2
COC1=CC2=CC=C3C(=C2C=C1OC)CC(N)C(C4=CC(F)=C(F)C=C4F)O3	389.3730000000001	4.277800000000003	53.71000000000001	4	1	3
CC#CCN1C(N2CCCC(N)C2)=NC3=C1C(=O)N(CCCN4CCC(C(=O)NC5=CC=C(C#N)C=C5)CC4)C(=O)N3C	585.7130000000001	1.4599800000000025	147.21	11	2	8
NC1CC(N2CC3=CN(S(=O)(=O)C(F)(F)F)N=C3C2)COC1C4=CC(F)=CC=C4F	452.4050000000002	2.0321	90.45	7	1	3
NC1CC(N2CC3=CN(S(=O)(=O)C4=CC=CC(C(F)(F)F)=C4)N=C3C2)COC1C5=CC(F)=CC=C5F	528.5030000000003	3.590200000000002	90.45	7	1	4
CN(C1CCC(C(N)CC2=CC(F)=CC=C2F)CC1)S(=O)(=O)C3=CC=C(C#N)C=C3	433.52400000000017	3.5857800000000024	87.19	4	1	6
CN(C1CCC(C(N)CC2=CC(F)=CC=C2F)CC1)S(=O)(=O)C3=CC=CN=C3	409.5020000000001	3.109100000000001	76.28999999999999	4	1	6
CN(C(=O)C=1C=CN(C)N=1)C2CCC(C(N)CC3=CC(F)=CC=C3F)CC2	376.4510000000001	2.8991000000000016	64.15	4	1	5
CCC(C)C(N)C(=O)N1CC(N=[N+1]=[N-1])CC1C#N	250.306	1.16318	118.88	4	1	4
CS(=O)(=O)C1=CC=CC(C2=CC=C3C=CC4=C(C3=C2)CC(N)C(C5=CC(F)=C(F)C=C5F)O4)=C1	483.5110000000002	5.331100000000005	69.39	4	1	3
COC1=CC=C2C=CC3=C(C2=C1)CC(N)C(C4=CC=C(F)C=C4F)O3	341.357	4.130100000000003	44.48	3	1	2
NC(CC(=O)N1CCCC1CNC(=O)C2CC2)CC3=CC(F)=C(F)C=C3F	383.414	1.881	75.43	3	2	7
CC(C)(CC(=O)N1CCSC1)NCC(=O)N2CC(F)CC2C#N	342.44000000000005	0.7401800000000003	76.44	5	1	5
C#CC1CC(F)CN1C(=O)CC(C)(C)CC(=O)NC2CC2C3=CC=CC(Cl)=C3	404.9130000000001	3.6907000000000014	49.41	2	1	6
CC(C)(CC(=O)N1CCOCC1)NCC(=O)N2CC(F)CC2C#N	340.399	0.0660800000000021	85.67	5	1	5
N#CC1=CC=CC=C1CN2C(N3CCCC(N)C3)=NC=4SC=C(C(F)(F)F)C=4C2=O	433.45900000000006	3.3242800000000017	87.94	7	1	3
O=C1C=C(N2CCNCC2)N(CC3=CC=CC=C3)C4=CC=NN14	309.37300000000005	0.9538999999999996	54.57000000000001	6	1	3
N#CC1CCCN1C(=O)C(N)CC(=O)N2CC3=CC=CC=C3C2	312.37300000000005	0.7607799999999996	90.43	4	1	3
CN1C(=O)C=C(N2CCCC(N)C2)N(CC3=CC=CC=C3C#N)C1=O	339.39900000000006	0.3944800000000006	97.05	7	1	3
CS(=O)(=O)C1=CC=CC(C(=O)NCC2CCCN2C(=O)CC(N)CC3=CC=CC(Cl)=C3)=C1	478.0140000000002	2.424400000000001	109.57	5	2	8
CC(C)C(NC(=O)C1CCCN1C(=O)C(N)C2CCCCC2)C(=O)N3CCCC3B(O)O	450.3890000000003	0.0288000000000027	136.2	6	4	7
NC(CCN1C=C(C2=CC=NC=C2)N=N1)CC3=CC(F)=C(F)C=C3F	347.34400000000005	2.7175	69.62	5	1	6
CC(C)=CCN1C(N2CCCC(N)C2)=NC3=C1C(=O)N(CC4=CC=CC=C4C#N)C(=O)N3C	447.5430000000002	1.7103799999999996	114.87	9	1	5
