CanonicalSMILES	MW	LogP	TPSA	HBA	HBD	RotB
CC(C)(OC1=CC=CC(CCCN(CC2=CC=C(C(F)(F)F)C=C2C(F)(F)F)C(=O)CC3=CC=C(C(F)(F)F)C=C3)=C1)C(=O)O	649.5500000000003	8.189100000000009	66.84	3	1	11
CC=1OC(C2=CC=CC=C2)=NC=1CCOC3=CC=C(CC(C(=O)O)N4CCOCC4)C=C3	436.50800000000027	3.599420000000001	85.03	6	1	9
CNC(CC1=CC=C(OCCC=2N=C(C3=CC=CC=C3)OC=2C)C=C1)C(=O)O	380.4440000000001	3.486620000000002	84.59	5	2	9
CC=1OC(C2=CC=CC=C2)=NC=1CCOC3=CC=C(CC(NC4=NC=CC=N4)C(=O)O)C=C3	444.4910000000001	4.169320000000002	110.37000000000002	7	2	10
CC=1OC(C2=CC=CC=C2)=NC=1CCOC3=CC=C(CC(NS(C)(=O)=O)C(=O)O)C=C3	444.5090000000001	2.81642	118.73	6	2	10
COC(=O)C1=CC=CC=C1NC(CC2=CC=C(OCCC=3N=C(C4=CC=CC=C4)OC=3C)C=C2)C(=O)O	500.5510000000003	5.165920000000004	110.89	7	2	11
CC1=CC(OCC2=NC(C3=CC=C(C(=O)N(C)C(C)C)C=C3)=C(C4=CC=C(OC(F)(F)F)C=C4)S2)=CC=C1OCC(=O)O	614.6420000000002	7.206920000000005	98.19	7	1	11
CC1=CC(OCC2=NC(C3=CC=C(C(=O)N4CCCCC4)C=C3)=C(C5=CC=C(OC(F)(F)F)C=C5)S2)=CC=C1OCC(=O)O	626.6530000000001	7.352620000000006	98.19	7	1	10
CC1=CC(OCC2=NC(C3=CC=C(C(=O)N(C)C(C)C)C=C3)=C(C4=CC=C(OC(F)(F)F)C=C4)O2)=CC=C1OCC(=O)O	598.5740000000002	6.738420000000006	111.33	7	1	11
CC1=CC(OCC2=NC(C3=CC=C(N4CCOCC4)N=C3)=C(C5=CC=C(OC(F)(F)F)C=C5)O2)=CC=C1OCC(=O)O	585.5350000000001	5.489620000000006	116.38	9	1	10
CC1=CC(OCC2=NC(C3=CN=C(N4CCOCC4)N=C3)=C(C5=CC=C(OC(F)(F)F)C=C5)O2)=CC=C1OCC(=O)O	586.5230000000001	4.884620000000005	129.27	10	1	10
CC(=O)NC(CC1=CC=C(OCCC=2N=C(C3=CC=CC=C3)OC=2C)C=C1)C(=O)O	408.45400000000006	3.4033200000000017	101.66	5	2	9
CC=1OC(C2=CC=CC=C2)=NC=1CCOC3=CC=C(CC(C(=O)O)N4C(C)=CC=C4C)C=C3	444.5310000000002	5.558260000000004	77.49000000000001	5	1	9
CCOC(CC1=CC=C(OCC2=NC(C3=CC=C(OC)C=C3)=C(C4=CC=C(C(F)(F)F)C=C4)S2)C=C1)C(=O)O	557.5900000000003	7.115700000000007	77.88	6	1	11
COC1=CC=C(C=2N=C(SCCCCOC3=CC=C(OCC(=O)O)C=C3Cl)SC=2C4=CC=C(OC)C=C4)C=C1	586.1310000000002	7.5624000000000065	87.11	8	1	14
COC1=CC=C(C=2N=C(SCCCOC3=CC=C(OCC(=O)O)C=C3Cl)SC=2C4=CC=C(OC)C=C4)C=C1	572.1040000000003	7.172300000000006	87.11	8	1	13
COC1=CC=C(C=2N=C(SCCOC3=CC=C(OCC(=O)O)C=C3Cl)SC=2C4=CC=C(OC)C=C4)C=C1	558.0770000000002	6.782200000000006	87.11	8	1	12
COC1=CC=C(C=2N=C(SC3=CC=CC(C(C)C(=O)O)=C3)SC=2C4=CC=C(OC)C=C4)C=C1	477.6070000000002	6.833600000000006	68.65	6	1	8
CC1=CC(OCC2=NC(C3=CN=C(OC(C)C)N=C3)=C(C4=CC=C(OC(F)(F)F)C=C4)O2)=CC=C1OCC(=O)O	559.4970000000002	5.835220000000005	126.03000000000002	9	1	11
COC1=CC=C(C=2N=C(SCCCCOC3=CC=C(OCC(=O)O)C(C)=C3)SC=2C4=CC=C(OC)C=C4)C=C1	565.7130000000003	7.217420000000007	87.11	8	1	14
