smiles	MW	LogP	TPSA	HBA	HBD	RotB
C=COCC(N=c1ccccc(Cc2c(O)cccc2F)c1C)=C(O)C=CC(N)=O	410.164	3.302	105.140	5.000	3.000	8.000
CC=Cc1[nH]nc(CC(C)O)c1CC(=O)c1ccc2ccccc2c1[NH]	348.171	3.859	89.780	3.000	2.000	6.000
CNC1CN2N=C(CC1NC=Cc1ccccc1)NC(CCN1C=NC=C(NC3=Nc4c(ccc(Cl)c4F)C3=O)C1)C2=O	603.227	2.605	125.820	10.000	4.000	8.000
COCCN=CC=CC=C1C=NC=C(c2ccc(O)cc2)C(C(C)C)=C1C	364.215	4.990	54.180	4.000	1.000	7.000
C=CC=CC(O)=CC=C(C=CC1=CCC=C(C=COC)N1C(C)C)OCCC1CCCO1	439.272	6.238	51.160	5.000	1.000	12.000
C=C1COCCN1C(=O)C1C=C(Cl)C=CC(=CC2CC(C)CNC(=O)CNCCC(CC)C(=O)N2)C=C1Cl	564.227	3.363	99.770	5.000	3.000	3.000
CNCc1cc(O)ccc(C=CC(=O)O)[nH]cn1	249.111	1.057	98.240	4.000	4.000	4.000
N=CC1(NC=CC=C(N)NC(=O)n2cc(F)ccc2=O)CNC(=O)c2ncc(F)cc2C1	443.152	0.357	154.990	8.000	5.000	5.000
Cc1cc(C)c2c(c1C)C(C1CCCC(C)C(O)C(O)C(O)C1)CC(=O)C(CC=C1C=CC=CC=C1)=NN2	518.314	5.344	102.150	6.000	4.000	3.000
NC(=O)Cn1cnc(-c2cccc(Br)c2)c1C1=CC=C(C=O)C1	371.027	2.710	77.980	4.000	1.000	5.000
CN1CC=CNC=C2C(=CC=CC(c3ccc(F)cc3)c3ccc(F)cc3F)N2C1=O	423.156	5.002	35.350	2.000	1.000	4.000
CCN1C=C(c2cc(C)ccc2O)C=C(F)C(c2cccnc2)=CC=CCC1	376.195	5.655	36.360	3.000	1.000	3.000
O=C(NC1CCCOC1)c1c[nH]nc1Cc1ccnc(F)c1	304.134	1.443	79.900	4.000	2.000	4.000
O=Cc1ccncc1CNC(=O)CC=C1C=CNc2cccc(F)c21	337.123	3.062	71.090	4.000	2.000	5.000
CCS(=O)(=O)NC=C1C=CC(C2C=C(c3cc4ccccc4[nH]3)CCN2C)=C1	395.167	3.575	65.200	3.000	2.000	5.000
CS(=O)(=O)CC=CC1=C2C=C1C(c1ccco1)=CC=CC(=O)NN2	344.083	1.649	88.410	5.000	2.000	4.000
CCOC=CC=C(C)NN=CC=C(NC)N1CC=C(C)O1	292.190	2.228	58.120	6.000	2.000	8.000
O=C1C=CC=C(C2CCCO2)C(Br)=CNC2=CCC=C(C=C2)NNC(=O)CN1	446.095	1.952	91.490	5.000	4.000	1.000
CNC=C(C=C(CCCNC(N)=O)n1cccc1)CCCO	306.206	1.653	92.310	4.000	4.000	10.000
COC=CN=CC=C[N+]1([O-])C=CC=C(C(C)C)C1C	262.168	3.501	44.650	3.000	0.000	5.000
CC(CCC(=O)C=NNC1=CC=CC(C)(C)C1)c1ccc(O)cc1O	342.194	3.996	81.920	5.000	3.000	7.000
O=C1C2=C(c3cccnc3)C=CC=NC=COC2N1c1ccc(C(F)(F)F)cc1	397.104	4.355	54.790	4.000	0.000	2.000
CCOc1nc(Cl)ccc1C=NC=CCC1=CC=CS(=O)(=O)C1	352.065	3.325	68.620	5.000	0.000	6.000
CNC1=C(F)C(F)=CC(NC2C(N)=C(F)C(O)C(O)CNCC2O)C=N1	377.167	-1.565	135.160	8.000	7.000	3.000
CC1(Nc2ccc(O)c(Cl)c2)CCOC(=O)c2ccc(F)cc21	335.072	4.073	58.560	4.000	2.000	2.000
COc1cccc2cc(C=C3CNC(C)=C3C(=O)C3C=C(C)CCC3)occcc(N)c12	430.226	5.724	77.490	5.000	2.000	4.000
O=Cn1c(=O)[nH]c2c1cc1n(-c3ccccc3C(=O)NC3CCCCC3)ccn21	391.164	2.474	93.300	6.000	2.000	4.000
CCN(CCCNc1cccc2c1CCC1=CC3=C2C(=O)c2cc1cc(N)c2C3=O)CC1CC1	453.242	4.979	75.430	5.000	2.000	8.000
COC=CC=CC(=Cc1ccccc1)NNC=O	244.121	1.994	50.360	3.000	2.000	7.000
CN1C=C(C=C2NC(=O)N(c3ccc(Cl)cc3Cl)C2=O)CC1	337.038	3.153	52.650	3.000	1.000	2.000
CC(C)CN=C1C2N=CC3=CC(NC4CCN(C)CC4)C=CC3=C2CS1(=O)=O	402.209	1.768	74.130	6.000	1.000	4.000
CCC(C)(C)c1cnc(NC2=CC(=CC3C=CC=CNC4N=CN=C(C)CC4=C3C)N=C2)cn1	455.280	5.253	86.920	7.000	2.000	5.000
C=CC(F)=CC(F)=CC(=O)C=NNC=CN=CNc1c(C)cc(F)cc1C	376.151	4.391	65.850	4.000	2.000	9.000
O=CC(=O)C=c1ncccc1=Cc1ccc(Nc2ccc(C(F)(F)F)cc2)o1	386.088	2.814	72.200	5.000	1.000	5.000
COCCN1CN(C(=O)C=CC=CNC=NC=C(Cl)C(=N)c2ccc(C(C)C)cc2)CCCC1=O	499.235	4.001	98.090	5.000	2.000	11.000
NC1=C2C=C(OCC=C1Cl)C13C=CN=C(C=CC=N1)C=CN3C2	326.093	2.371	63.210	5.000	1.000	0.000
CN1C=C2CC=C(N)C=C(CC3=C(Cl)C(Cl)=C(Cl)C3=CC(=O)N2)C1	383.036	3.574	58.360	3.000	2.000	0.000
CCC(=C(Br)[SH]=C(N)c1c(C)cc(O)cc1OC)c1cc(O)ccc1C	437.066	4.799	75.710	3.000	4.000	5.000
CN1C=CN=CC1=CCNC(=O)C1=CC=CC2(CC=NC=C2F)NC=C1	353.165	2.098	69.090	5.000	2.000	3.000
