smiles	MW	LogP	TPSA	HBA	HBD	RotB
COC(=O)C(NC1C=CC=C1C)N1CCC(N)C(=O)CC2CCC1C2C	361.237	1.367	84.660	6.000	2.000	4.000
Cc1ccc(C=C2C=CN=CC=CC(N)C(C(N)=O)=C2)c(N)c1	308.164	1.854	107.490	4.000	3.000	2.000
NC=C1C=C(Br)C(C(N)C(=O)N2CCCC2=CO)=CN1	340.053	0.902	104.610	5.000	4.000	2.000
C=CCN1C=CC2=NC(=C1)N1CC(C=C2)CN1C(=O)CC(C)NCc1cccc(C)c1	417.253	3.364	51.180	5.000	1.000	7.000
C=CNC(=O)C(N)(CC1CC(C)=CO1)c1cc(F)ccc1F	308.134	2.461	64.350	3.000	2.000	5.000
CCOc1cc(C2(N)CNC(=O)c3ccccc3C2=CC(=O)NCc2ccc(F)cc2F)ccc1CC#N	516.197	3.727	117.240	5.000	3.000	7.000
C=C(F)C1C(C2=CC=CC(CC(=O)NCC3C=CC=C3)C2)C=CC(=O)N(Cc2ccc(F)c(Cl)c2)C1N	525.199	5.129	75.430	3.000	2.000	8.000
C=C(Cc1cc(F)c(F)cc1F)C(=O)NCCC1CNCC(=O)N1CC	369.166	1.529	61.440	3.000	2.000	7.000
N#CC=C1CCCN1C(=O)NCC1Nc2ccccc2C1=O	296.127	1.876	85.230	4.000	2.000	2.000
CCC(NCC1=CNc2cc(C#N)cc(c2)CCCC1)c1ccc(F)c(F)c1F	399.192	5.739	47.850	3.000	2.000	5.000
Cc1ccccc1COC1CC2CCC(C1)N(C(=O)CN(C)C(N)=O)C2	359.221	2.292	75.870	3.000	1.000	5.000
NC(Cc1cc(Cl)ccc1F)C1CC=CC(O)=CC1	281.098	3.757	46.250	2.000	2.000	3.000
C[SH]1N=CN=C1NC(=O)CNC1C(CCCC#N)N1Cc1cc(F)ccc1F	408.154	1.819	92.650	6.000	3.000	8.000
N=CC(N)c1cnc(N2CCSCC2)cc1SC1C=CC=CN1	347.124	2.375	78.030	7.000	3.000	5.000
O=C(C1C=CN=C(Cc2cc(F)c(F)cc2C(F)(F)F)N1)n1cccc1	369.090	3.552	46.390	4.000	1.000	3.000
COC=C1C=C(CC(N)C(N)C(=O)N2CCNN2)C=CN=C1C#N	331.176	-1.169	141.790	8.000	4.000	5.000
CC(CCc1cc(F)c(F)cc1F)c1nccnc1C1(C)CCCNC1	363.192	4.271	37.810	3.000	1.000	5.000
N#CC1(C=CC2=C(NC3Cc4ccccc4CC3N)C(C(F)(F)F)N2)C=C1C1CC1	412.187	3.233	73.870	4.000	3.000	5.000
CCN(CCNC(=O)C12CCN(C1)C(C)C2)c1ccc(C(F)(F)F)cn1	370.198	2.527	48.470	4.000	1.000	6.000
CNCCNC(=O)C=CC=C(CF)CNC1C(COCC(=O)Nc2ccc(F)c(F)c2F)C1C(C)CCC(C)(C)C(=O)NCCCF	673.363	3.969	120.590	6.000	5.000	22.000
CCC1CN(C(=O)Cc2ncncc2C(C)c2ccccc2)C1CCCC(N)C(=O)NO	439.258	2.411	121.440	6.000	3.000	10.000
COC(=Nc1cc(F)c(F)cc1C=O)c1cccc(C(O)(F)F)c1	341.068	3.544	58.890	4.000	1.000	4.000
CC(=NNc1cc(NC2CC3CC2CN3)ncn1)C(=O)NC1CCCCCC1	385.259	2.266	103.330	7.000	4.000	6.000
C=CNN1C(=O)c2cc1c(C)cc2CC1=CC=COC1	268.121	2.616	41.570	3.000	1.000	4.000
COC=CC1=CC(OC)C=C2C(=O)C(NC(=O)CN=CN)C=NC(c3cc(F)ccc3F)=C2C=C1	482.177	2.399	115.370	6.000	2.000	7.000
COCCN1C=C(C)C(c2ccccc2Cl)=C(C)c2ccc(Cl)cc21	373.100	6.294	12.470	2.000	0.000	4.000
N#CC=C1C=C(Cl)C=CC(NCc2cccnc2)=NC(C(F)(F)F)=N1	365.066	3.630	73.430	5.000	1.000	2.000
CCOC(=O)C=CC1=NC2=C(CN)C=C(OC)C=C(c3cccc(C)c3)C1=C2	376.179	3.635	73.910	5.000	1.000	6.000
COC(=O)C1(OC)C=Cc2cccc(S(C)(=O)=O)c2C=CNC=C(CC(C)C)C(CC(C)N)=C1	488.234	3.829	107.720	7.000	2.000	7.000
CONC(CO)CCCC(=O)CC1=CC(N)C(c2ccc(F)c(F)c2F)=NN1	400.172	1.264	108.970	7.000	4.000	10.000
CC1CC2C(NCC(=O)CC3=CC=C[SH]3C)CC2NS(=O)Cc2ccccc21	418.175	3.295	58.200	3.000	3.000	5.000
Cc1c(Cl)cccc1C(C)(C)CC(=O)N1CCNC(=O)C(NCCCC(N)C(=O)O)CCNC1	495.261	1.362	136.790	6.000	5.000	9.000
