smiles	MW	LogP	TPSA	HBA	HBD	RotB
CCCCOC(C)(C)CCC1=CC=C(CCc2nc(-c3ccc(Cl)cc3)oc2CC)C1C=O	469.238	7.547	52.330	4.000	0.000	13.000
CC=C1C(C=C2C=c3ccncc3=C2C)=CC(OC)=CC=C1CC	317.178	3.726	22.120	2.000	0.000	3.000
C=CCc1c(C(=O)NCCOC2=CCOCC=CC=C2)cccc1C(F)(F)F	393.155	4.207	47.560	3.000	1.000	7.000
Cc1cc(-c2cccnc2)ccc1OCC1=CC=C(OC2(O)OCC2C(C(=O)O)c2ccccn2)C1C	500.195	4.468	111.000	7.000	2.000	9.000
CC1=CC(c2cccc(F)c2)=CC=CC1OC1C=CCC(OCC(=O)Nc2cc(C(C)C)ccc2O)=C1	501.232	6.807	67.790	4.000	2.000	8.000
C=CCC1(Nc2cc(Cl)ccc2C(=O)N=CC2=CC=C(OC(N)C=O)OC=C2)C=COC1	455.125	3.634	112.240	7.000	2.000	9.000
CC=C1C2=CC(C)=C1N(CCc1cccs1)c1ccccc12	305.124	5.428	3.240	2.000	0.000	3.000
CCOc1cccc2cccc(CC=CCC(O)=CC(C)=O)c12	310.157	4.758	46.530	3.000	1.000	7.000
CCc1c(C(=O)Nc2ncccc2OC(=CC(=O)O)N=CN)ccc(Oc2ccc(F)cc2F)c1F	500.131	4.398	136.130	6.000	3.000	9.000
CCC=C(Cc1c2cc(c(=O)n1Cc1ccc(C)cc1)C(=O)O2)Oc1nc(N2C=CC=C(Cl)O2)ncc1C1CC1	558.167	5.666	95.780	9.000	0.000	9.000
Cc1cc(CC(O)c2ccccc2C)ccc1C(=O)NCC1C=CC=CNC(=O)C2(CCc3cc(F)ccc32)OC1	554.258	5.123	87.660	4.000	3.000	6.000
CCOc1ccc(C(CCCO)c2ccccc2CCC(=O)c2cc(Cl)cc(Cl)c2)cc1	470.142	7.112	46.530	3.000	1.000	11.000
CCN(CC)COC1=C(C(=O)O)Cc2ccccc2N1COc1ccc(Cl)cc1	416.150	4.351	62.240	5.000	1.000	9.000
C1=CC=CC(Cc2ccccc2)=C(c2ccccc2)C(=COC2=CC=CCO2)C=C1	392.178	6.693	18.460	2.000	0.000	5.000
Cc1c(OC2=CC(=CS(=O)(=O)c3cccc(Cl)c3)C=CC=CO2)ccc(Cl)c1Cl	467.976	6.633	52.600	4.000	0.000	4.000
CC([O-])CCC(CNC(=O)CCCCCCCC=O)Oc1ccc(F)cc1F	398.215	3.287	78.460	4.000	1.000	15.000
COC(=O)c1cc2ccccc2n(CCc2ccc(Cc3c(F)cccc3F)cc2)c(=O)oc2cc(Cl)ccc12	559.136	7.424	61.440	5.000	0.000	6.000
CCC=C1C=CC(Nc2cccc(Cl)c2)=CC(Cl)=C1	291.058	5.665	12.030	1.000	1.000	3.000
CCC(O)(CC(=O)CCNC(=O)[O-])N1c2cccnc2C1c1ccccc1Cl	402.123	2.025	105.590	6.000	2.000	8.000
COC(=O)C(=NC(=O)Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)c1ccccc1	426.119	5.567	67.760	3.000	1.000	4.000
C=CC=Cc1nc(C(F)(F)F)oc1C1(Cl)C=CC=COC(=O)CCc2cnc(N3C=CCC3)c1c2	503.122	6.053	68.460	6.000	0.000	4.000
COC=CC=CC1C=CC=C(OCCC2Cc3c(C)cccc3O2)OC=C1	366.183	4.979	36.920	4.000	0.000	7.000
COc1cccc(OC2=CC3=CC(CS(C)(=O)=O)C(c4ccccc4O)=NC3=C2)c1	423.114	3.651	85.190	6.000	1.000	6.000
CNCC1C=CC(C(=O)Nc2ccccc2OC)=C1O	274.132	1.851	70.590	4.000	3.000	5.000
COCCOC(=Cc1ccc(C(C)=O)cc1)CC1=CC=C(CCOC)C(C)C=C1	396.230	5.378	44.760	4.000	0.000	11.000
COC=CC12C=C(C)Cc3ccc(O)cc3CCC1C2C(C)CO	328.204	3.848	49.690	3.000	2.000	4.000
CNC(=O)C(=CC(=O)NC=Cc1ccc(Cl)nc1)N=Cc1ccc(Cl)cc1	402.065	3.224	83.450	4.000	2.000	6.000
