smiles	MW	LogP	TPSA	HBA	HBD	RotB
O=C(O)C1=CC=C(C2=Cc3ccccc3C2)C1c1cccc(S(=O)(=O)N2CCOCC2)c1	449.130	3.382	83.910	4.000	1.000	5.000
COC=C1C(=O)C=CC=CC(CCC(=O)NSCC(N)=O)N=C1Nc1ccccc1C#N	453.147	1.993	146.670	8.000	3.000	8.000
CC1CC(c2ccccc2)CCC1C(C)c1ccc(CCc2ccn[nH]2)cc1	372.257	6.518	28.680	1.000	1.000	6.000
Cc1c(S(=O)(=O)c2cc3c(cn2)CN3)cnn1-c1ccccn1	327.079	1.729	89.770	7.000	1.000	3.000
COC1C(c2ccc(Cl)cc2-c2ccn[nH]2)CCN(CCc2ccsc2)C1O	417.128	4.157	61.380	5.000	2.000	6.000
CC1C2=CC=C(NC(=O)CC3CCNC(=O)N3)C(CC3CNC(=O)NCC3N)=C1N2	415.233	-0.515	149.410	5.000	7.000	5.000
CCCCc1c(-c2cc(O)ccc2C(=O)NC)ccc2ccccc12	333.173	4.915	49.330	2.000	2.000	5.000
CCc1csc(CC=Nc2ccc([N+](=O)[O-])n2-c2cccc(Cl)c2)n1	374.060	5.003	73.320	6.000	0.000	6.000
NC1=CC=C(C(=O)Nc2ccc(Cc3ccnc(N)n3)cc2CCl)C1	355.120	2.500	106.920	5.000	3.000	5.000
N=c1nc(CNc2ccc3c(c2)OCCO3)c(NC(=O)c2ccc(F)cc2)n[nH]1	396.135	2.059	125.010	7.000	4.000	5.000
COC=CC(NC(F)(F)F)n1cnc(-c2ccc([N+](=O)[O-])cc2)n1	343.089	2.621	95.110	7.000	1.000	6.000
NC=NC1=NN2CCCC(C(F)(F)F)CC2=CC(=O)C1C1CCC2CC3CCC2CC3O1	452.240	4.018	80.280	5.000	1.000	1.000
COC=C1CCc2ccccc2N=C(c2ccccc2)c2occc21	329.142	5.382	34.730	3.000	0.000	2.000
C=C1CN(CCCCCCc2ccccn2)C(=O)C1=CC1C=C(F)C(OC)=C1	382.206	4.523	42.430	3.000	0.000	9.000
COC=CC1=NC(NC(=O)CC2CCCCN2)=C(NCC2CCCNC2)C1=COC	417.274	1.538	96.010	7.000	4.000	9.000
O=CC1Cc2cc(F)ccc2C1CSc1ccc(F)c(Cl)c1	338.034	4.865	17.070	2.000	0.000	4.000
CC1=CC2=CC(C=NOC(C)C)N(C)C(=CC(O)=C1)C2	274.168	3.313	45.060	4.000	1.000	3.000
COC(=O)C=CN(CCCc1cccs1)c1cc(Cl)ccc1C(C)(C)O	393.117	4.755	49.770	5.000	1.000	8.000
CCCCCC1=NCCC2C=C(Cl)C=NC12C	252.139	3.993	24.720	2.000	0.000	4.000
C=C1C=CC=CC(C)(C)C=C2C(C(F)(F)F)=NC(c3ccsc3)=C12	347.096	6.111	12.360	2.000	0.000	1.000
CCOC(=O)C=CC1C=C(c2cccc(C)c2)CCCC1	284.178	4.688	26.300	2.000	0.000	4.000
COCCOCCOc1ccc2c(c1)C(=O)C=C(C)NC1Cc3ccccc3C2C1	407.210	3.865	56.790	5.000	1.000	7.000
CC(=O)C1=CC2(NC(=O)C=CC(=CC=N)[N+](=O)[O-])NC(=N1)C2C	317.112	0.290	137.550	7.000	3.000	6.000
CC1C=CC=CC=C(S(=O)(=O)NCCC(=O)NC2=CC(=O)N(C3CCC3)C2=O)CC1	433.167	1.643	112.650	5.000	2.000	7.000
CC(=O)NC=C1C=CCNC(=O)N2CCCN(c3ccccc3-c3cccnc3)CC2=C1	429.216	3.444	77.570	4.000	2.000	3.000
Cc1cc(Cl)ccc1CNC(=O)CCCCN1COCC2CCCC(C1)C(=O)C2	420.218	4.100	58.640	4.000	1.000	7.000
CCCOCCc1cc(=O)c2c(Br)c(O)c(Cl)cc2o1	359.976	3.884	59.670	4.000	1.000	5.000
CC1CC2CNC(Cc3ccc(O)cc3)C(=O)NC=CC=CC(c3ccccc3OC(C)(C)C)=CC2=CC=CO1	540.299	6.219	79.820	5.000	3.000	4.000
N=CCCCC(=CC=CC1=CC=CNS(=O)(=O)C1)[N+](=O)[O-]	311.094	1.896	113.160	5.000	2.000	7.000
CC(=O)Nc1n[nH]cc1S(=O)(=O)n1ccnc1	255.043	-0.198	109.740	6.000	2.000	3.000
Cc1c(CS(=O)(=O)N2CCC(N)C2)ccc2ncncc12	306.115	0.801	89.180	5.000	1.000	3.000
CCNC(Cc1ccccc1-n1c(-c2ccccc2)nc2cccnc21)Nc1ccccc1	433.227	5.678	54.770	5.000	2.000	8.000
CN(CC(=O)Nc1ccc(F)cc1F)c1cc(F)ccc1-c1ccccc1N1CCOCC1	455.182	4.682	44.810	4.000	1.000	6.000
CC1CCC2=C(O)C(O)=CC(O)=CCC(CCO)(OCCO)C1c1cccn12	391.199	3.146	115.310	7.000	5.000	5.000
CCOC(=O)Oc1ccc(C(=O)CCC(=O)N(C)C)cc1NC(C)(C)C	364.200	3.483	84.940	6.000	1.000	7.000
CC(=O)N1CCC(CCC(=O)c2cc(Cl)c(NC(N)=O)c3c2CCCC3)CC1	405.182	3.931	92.500	3.000	2.000	5.000
O=C(NCC1C=CC(c2ccccc2)=CC(c2ccccc2)=C1O)c1ccoc1	383.152	5.248	62.470	3.000	2.000	5.000
CNc1ccc2cc1C=C(C(=O)CCCNC=C(CC=CSC)C(=O)O)C2	386.166	3.842	78.430	5.000	3.000	11.000
C=C(Cl)C(Cl)=CC=CCC(=O)C1=NN=CNc2ccc(Cl)c1c2	367.005	4.889	53.820	4.000	1.000	5.000
CCC(=O)Oc1cc(Cl)ccc1C(C)(N)CO	257.082	1.822	72.550	4.000	2.000	4.000
Cc1ncccc1N1C(=O)c2ccccc2NC(=O)C(CC2NC(=O)c3ccccc3C2=O)C1=O	468.143	2.517	125.540	6.000	2.000	3.000
CCONC(=O)CC1(c2ccccc2)N=C(Cc2ccc(OCCCc3ccccc3)cc2)N1N	472.247	4.139	89.180	6.000	2.000	12.000
O=C(C=Cc1ccccc1)c1cncc(CCNC(=O)C2CC2)c1	320.152	3.046	59.060	3.000	1.000	7.000
CC1=CS(=N)C(C(=O)NC(C=CS(C)(=O)=O)C(=Cc2cccc(C)c2)C(F)(F)F)=C1	458.095	4.166	87.090	4.000	2.000	6.000
COc1cc2c(C)cc(CCCS(=O)(=O)Nc3nnc(C)s3)cnc-2c1-c1cnoc1C	473.119	4.001	120.100	9.000	1.000	8.000
CC(=O)OC=C1C=CC(CC(=O)Nc2cccc(NC(=O)CC3CCCN3)c2)=C1	395.185	3.039	96.530	5.000	3.000	7.000
CCCN1CCCCCCc2c(ccc3ccccc23)OC(=O)C1(C)C	353.235	5.352	29.540	3.000	0.000	2.000
C=NC(C)CNCCN(F)CCc1ccccc1C(F)F	301.177	3.032	27.630	3.000	1.000	10.000
[NH]C(=O)C=CC(C=C(N=CN)n1cccc1)C(=O)Nc1ccc(F)cc1F	372.127	2.172	113.280	4.000	2.000	7.000
C=CC=c1c2cc(ccc(=N)n3cncc4c(c1-3)NCCC(c1nnn[nH]1)C(C)CC4)=CC(=CCC)C=C2	506.291	3.705	108.160	7.000	3.000	3.000
C=C(C=C(C=CC(=O)OC)OC)CCNCc1cccc(C2CC(C)N(CC(=O)O)c3ccccc32)c1	504.262	4.797	88.100	6.000	2.000	12.000
CN1N=CN2c3cccc(Cl)c3C(=O)C(N)C2c2ccccc2S1(=O)=O	390.055	1.989	96.070	6.000	1.000	0.000
O=S(=O)(C=Cc1ccco1)NC1=CC=COC1	253.041	1.597	68.540	4.000	1.000	4.000
CCCCc1cc(C2CCCCC2)c(O)cc1OC(=O)c1ccc(C(=O)NC2CC2)cc1F	453.232	6.033	75.630	4.000	2.000	8.000
O=C(Cc1ccns1)NC(=CCCNC1CC1=O)c1ccccc1	341.120	2.164	71.090	5.000	2.000	8.000
Cc1c(C=NC2=CC=COC2)cc(Br)cc1C(=O)O	321.000	3.302	58.890	3.000	1.000	3.000
COC=C(C(=O)C1=CC=C[SH]1C)c1c(C=Nc2cc(O)ccc2C=O)cccc1OC	437.130	4.563	85.190	6.000	2.000	8.000
CCCN(C)CC1=CC=C(C=C2N=CC=CC=CC(F)=C2C)C(=O)OC1	356.190	4.062	41.900	4.000	0.000	5.000
C=C(C(=O)c1cccc(O)c1O)C(O)=CC=COC	262.084	2.439	86.990	5.000	3.000	5.000
COC(=O)NCCC(C)(c1ccccc1)C(C)(N)C(=O)N=C(N)O	336.180	0.807	140.030	4.000	4.000	6.000
CC1(Nc2ccccc2C=C2C(=O)Nc3ccccc32)C=CC=CC(=O)C1	356.152	4.435	58.200	3.000	2.000	3.000
N#Cc1cccnc1Oc1ccc(CCc2ccc(CC(=O)NCCc3ccccc3)cc2)cc1	461.210	5.432	75.010	4.000	1.000	10.000
C=CCCNC(=O)CC=C(CC(N)=O)c1ccnc(C#N)c1[NH]	312.146	1.209	132.670	4.000	2.000	8.000
CNC(=O)C(CC1=CC2=CCCC(C)(C)N(C)C21)C(=O)OC	306.194	1.651	58.640	4.000	1.000	4.000
CC=C(CCC(=O)O)C(=O)C1CCCN1c1cc(Cl)ccc1O	337.108	3.395	77.840	4.000	2.000	6.000
NC(=O)c1ccc(OC2=CC(N)=NCC=CC(=O)OC=C2)cc1Cl	347.067	1.685	117.000	6.000	2.000	3.000
C=Cc1ccc2ccc(cc2)sc1N=CNC(=O)c1cccc(Cl)c1	366.059	5.850	41.460	3.000	1.000	4.000
CCCC12CC(C)C3(CCC4CCC5=CC(=O)C=CC5=C4C(c4ccc(Cl)cc4)C3C1)C2=O	460.217	7.391	34.140	2.000	0.000	3.000
CCOc1ccccc1NC1CCN(S(=O)(=O)C=C(C)N(CN(C)C)c2cnn(-c3ccccc3)c2)C1	524.257	3.974	82.940	8.000	1.000	11.000
