smiles	MW	LogP	TPSA	HBA	HBD	RotB
CC(CC1CNCC(N2CC(N)C(=[SH]C3CC3)C2(Br)C2=CC=CC2)C1)CN(C)C	482.208	2.973	44.530	4.000	3.000	7.000
N=C(NN=C1SCC(=O)C(c2ccc(F)cc2)C1c1ccc(F)cc1)c1ccccc1	435.122	5.077	65.310	4.000	2.000	4.000
O=C(CC1=CC=CN(CCN2CCN(c3ccc(F)cc3)C2)C1)Nc1cccnc1	407.212	3.085	51.710	5.000	1.000	7.000
CCSC(CN1CCN(C2CCC(N)CC2)CC1)=NNc1cc(Cl)ccc1F	427.197	3.845	56.890	6.000	2.000	6.000
CC(C)N1CCC(Nc2ccc3[nH]c(Nc4cc(F)ccc4F)nc3c2F)CC1	403.198	5.009	55.980	4.000	3.000	5.000
CC(=O)Nc1ccc(C2(C3CCNC3)C3CN(Cc4ccc(Br)cc4)CCN32)cc1	468.152	3.412	47.380	4.000	2.000	5.000
CC(C)(C)CN1CCCC1CN1CC=C(c2ccc(N)c(NC(=O)C3CCC3)c2)C1	410.305	4.217	61.600	4.000	2.000	6.000
Cc1cc(CN2CCC(NC(=O)NC3=NC=C(CN(C)C)C3)C2)ccc1Br	433.148	2.879	59.970	4.000	2.000	5.000
COc1c(N)ccc(NC2=NC=C(C3CN(C)CCN3CC3CCCC3)C2)c1C	397.284	3.490	66.120	6.000	2.000	5.000
CCC1=NC(N2CCN(C3CCN(C4CCCCC4)CC3)C(N)=C3CC3(C)C2)C=C1F	429.327	4.026	48.100	5.000	1.000	4.000
CC(=O)NC(C)(C)N1CCN(C2(CNCc3cc(F)ccc3F)NC3=CC=CC32)CC1	431.250	1.914	59.640	5.000	3.000	7.000
CCOC(=O)c1ccn(CCN2CCN(c3ccc(Br)c(Cl)c3)C2)c1	425.051	3.860	37.710	5.000	0.000	6.000
CN1CCN2CCCS(=O)(=O)Nc3ccc(c(C4CCC4c4cccn4C)c3)C1CC2	442.240	3.510	57.580	5.000	1.000	2.000
COc1cc(F)c2c(c1NC(=O)c1ccc(F)cc1)NCCN(C)Cc1ccccc1-2	423.176	4.750	53.600	4.000	2.000	3.000
CC1CN(Cc2ccncc2C(N)=O)CCC1C(c1ccccc1)c1cccs1	405.187	4.532	59.220	4.000	1.000	6.000
CC(=O)NC(C)c1ccc2c(c1)C(=CNc1ccc(I)cc1)N(C)C2	447.081	4.344	44.370	3.000	2.000	4.000
CN1CCC(N(C)Cc2ccc3c(c2)C2=C(NC3)c3cccc(c3)N(N(C)C)C2=O)CC1	431.269	3.007	42.060	5.000	1.000	4.000
CC(Nc1ccc(CN2CCCN(C3CCN(C)CC3)C2)nc1)Nc1cccc(F)c1	426.291	3.650	46.670	6.000	2.000	7.000
CC(=O)NC1CCNC2=C1C(Nc1ccc(N3CCN(C)CC3)cc1)c1ccccc12	417.253	2.814	59.640	5.000	3.000	4.000
COC1=CC=Cc2cc3ncc2nc3C(Nc2cc(Br)cc(C(F)(F)F)c2)C1	449.035	5.949	47.040	4.000	1.000	3.000
O=C(C1CC1)N1CCC(N2C=CC=C(N3CCN(CCc4ccncc4)CC3F)C2)C1	425.259	2.261	42.920	5.000	0.000	6.000
COc1cc(C2CCN(C)C2)cc(F)c1NC1CCN(C2CCC(C)(C)C2)C(C2CC2)N1	444.326	4.602	39.770	5.000	2.000	6.000
COc1ccccc1NC1=CC=CC(N2CCNCC2)C2=CC(CN3CCN(C)CC3)=C12	433.284	2.319	43.010	6.000	2.000	6.000
CC(=O)c1ccc(NC2=CC(N3CCN(C4CC(N(C)C)C(C)(C)C4)C3)C=C2)cc1	408.289	3.817	38.820	5.000	1.000	6.000
CCOCc1cn(Cc2ccc(N3CCN(C)CC3)cc2)c2cc(NC(=O)C3CC3)ccc12	446.268	4.326	49.740	5.000	1.000	8.000
CC(Cc1ccc(F)c(F)c1)N1CCN(C2=C(NC3CCCC3)N=C(N)C2)CC1(F)F	439.236	3.568	56.890	5.000	2.000	6.000
Cc1ccnc(C)c1NC(=O)C1CN(Cc2ccc(F)c(F)c2)CC2(CCNC2)C1	414.223	3.417	57.260	4.000	2.000	4.000
CCN1CCc2c(NC(=O)CN3CCN(C4CCC(C)(C)C4)C(Cl)C3)c[nH]c2C1	421.261	3.092	54.610	4.000	2.000	5.000
CCN1CC(CN2CCCCN2)C2=NNC3=CC=C(CCC3)S(C)(=O)=C(C)CC21	419.272	2.315	59.970	6.000	2.000	3.000
CN1CCN(c2ccc(NC=C3C4=CN(CC5=CN=C(N(C)C)C5)CCCC34)cc2)CC1	432.300	3.591	37.350	6.000	1.000	5.000
N#Cc1cc(NC(=O)Cc2ccc(Br)cc2)cn2c(C3CCCC3)cn12	410.074	4.512	61.710	4.000	1.000	4.000
O=C(NCC1=CC2CC(N3CCC3)C(C1)N2)N(CC(F)(F)F)c1ccc(Cl)cc1	428.159	3.553	47.610	3.000	2.000	5.000
CC1CCN(CC2(c3cccn3C3C=CC=C(C(=O)NC(N)=S)C3)CCC2Cl)C1	432.175	3.256	63.290	4.000	2.000	5.000
CC1=CC=C(C2CC(c3ccc(CN(C)C)s3)N2C(=O)NC2CC(F)(F)C2)C(O)C1	437.195	4.070	55.810	4.000	2.000	5.000
CN(C)CC(=O)C1=CC=C(N2C=CC(N3CC(N)C(c4ccc(F)cc4)C3)CC2)CC1	424.264	2.875	52.810	5.000	1.000	6.000
