smiles	MW	LogP	TPSA	HBA	HBD	RotB
C=C1C2CCCC(=O)N2CCC(CNCCC(C)(C)N)N1CC#CC	346.273	1.696	61.600	4.000	2.000	6.000
NCCOC1=C(F)C=C2CN(C3C=C(CC(F)(F)F)C(O)C3)CCC2C1	376.177	2.807	58.720	4.000	2.000	5.000
CC(CNC(=O)C1CCC(N)C1)c1ccc(OC(F)(F)F)cc1	330.156	2.932	64.350	3.000	2.000	5.000
CC1CN(C(C)(C)NC(=O)NCCN(C)C)CCN1c1ccccc1	347.269	1.794	50.850	4.000	2.000	6.000
CCC(=O)NC1CCC(NC(=O)NCc2ccc(OC)cc2)CC1	333.205	2.332	79.460	3.000	3.000	6.000
N#CC(Cc1ccccc1)C1CCCN(C2CC(C(N)CC(F)F)C2)C1	361.233	3.842	53.050	3.000	1.000	7.000
CN(C)C(CC(N)C(=O)N(C)C1CCCC1)C(C1CCC1)C(F)(F)F	363.250	3.014	49.570	3.000	1.000	7.000
NC(CC(CC(=O)NCc1ccccc1)Cc1ccccc1)C(=O)O	340.179	2.354	92.420	3.000	3.000	9.000
CC#CCNCCC(C)(C)CNC1CC2CN(C(=O)CC(F)F)CC2C1	369.259	2.497	44.370	3.000	2.000	9.000
CN(C(=O)c1ccccc1)C(CN)Cc1ccc(NCc2ccccc2)cc1	373.215	3.941	58.360	3.000	2.000	8.000
CC(=O)NC1C=CC(C(N)CC2=CN(CC(F)c3ccccc3)CC2)CC1	371.237	3.475	58.360	3.000	2.000	7.000
NCCc1cc(C(N)CCC(F)(F)F)ncc1-c1ccc(F)cc1F	359.142	3.870	64.930	3.000	2.000	6.000
NC(CNC(=O)Cc1ccc(F)c(F)c1F)c1c(Cl)ccnc1F	361.061	2.650	68.010	3.000	2.000	5.000
Cc1cc(F)ccc1CCC1CC(N2CCC(C(N)C(=O)O)C2)CC1C	362.237	3.215	66.560	3.000	2.000	6.000
NC1(C(=O)N2CCCC2)CCN1C(=O)CC(Cc1ccccc1)CC(F)F	379.207	2.400	66.640	3.000	1.000	7.000
CCNC(=O)C(C)CC(C)(C)CC(N)C1CCCN(c2ccccc2)C1	359.294	3.809	58.360	3.000	2.000	8.000
CCC1CC(C(N)Cc2ccccc2F)CC1NC(=O)C(C)OC	336.221	2.651	64.350	3.000	2.000	7.000
CS(N)(CCc1ccc([N+](=O)[O-])cc1)Cc1ccc(Cl)c(F)c1	356.076	4.438	69.160	3.000	1.000	6.000
Cc1ccc(C(C)NNC(=O)CN(Cc2ccncc2)C2CCC2)cc1	352.226	3.127	57.260	4.000	2.000	8.000
CCC1C(=O)CNCC(=O)N1CCc1ccc(OCc2ccccc2)cc1	366.194	2.588	58.640	4.000	1.000	7.000
N#Cc1cc(F)cc(CCC(N)Cc2cc(F)c(Br)cc2F)c1	382.029	4.241	49.810	2.000	1.000	5.000
CCc1cccc2c1C(=O)C(NC(CC)C(N)CC(=O)N1CCCC1)=C2	355.226	2.494	75.430	4.000	2.000	7.000
CCn1c(CNC(=O)NC(C)C)ccc1C(=O)CCc1ccc(F)cc1	359.201	3.670	63.130	3.000	2.000	8.000
CCC(N)C1CC(c2cc(F)ccc2F)CCN1C(=O)CNC(C)C	353.228	2.775	58.360	3.000	2.000	6.000
COC1=CC(F)=CC(C(=O)NCCN2CC(Cc3ccccc3)C2=O)C=C1	370.169	2.373	58.640	3.000	1.000	7.000
