smiles	MW	LogP	TPSA	HBA	HBD	RotB
COc1cc(C=C(O)C=Cc2ccc(OC(F)F)cc2)ccc1CCC(=O)O	390.128	4.926	75.990	4.000	2.000	9.000
CC(=O)c1ccc(CCOCCOc2ccc(C=Cc3ccc(F)cc3)cc2)cc1	404.179	5.837	35.530	3.000	0.000	10.000
CC1=CC(C(=O)O)OCCN=C(c2ccc(N=CC=C(F)CF)cc2)C=CC=C1	400.160	4.543	71.250	4.000	1.000	5.000
CC(C)C(COCc1ccc(OCc2ccccc2)cc1)C(=O)NC(C)(C)C	383.246	4.969	47.560	3.000	1.000	9.000
CCc1cc(CCN(CC=CC=NC(=O)c2ccccc2)C([NH])=O)ccc1C	376.203	4.272	73.540	2.000	0.000	8.000
CC(=O)NC(CCc1ccc(CCC(=O)O)cc1)c1ccc(C(F)(F)F)cc1	393.155	4.533	66.400	2.000	2.000	8.000
CCC(C)(C)C(C#N)CCOc1ccc(C(=O)NCc2ccccc2)cc1	364.215	4.961	62.120	3.000	1.000	9.000
CC1=CC=C2OC(Cc3cc(CC(=O)c4ccccc4)ccc3C(=O)O)C=C2C1	386.152	4.912	63.600	3.000	1.000	6.000
CC(C)=C1C=CC(COc2cccc(C(=O)O)c2)C=C1CCc1ccc(O)cc1	390.183	5.551	66.760	3.000	2.000	7.000
CC=CC=C1CC(OCc2ccc(C(CC)CC)cc2)CN1C(=O)CCCC	383.282	6.358	29.540	2.000	0.000	10.000
CCC(CC(=O)O)C1C=C2C=C(C=Cc3[nH]c(CC4CCC4)nc3CC2)CC1	380.246	5.475	65.980	2.000	2.000	6.000
O=C(CCCOc1ccccc1)NCc1ccc(C(F)(F)F)cc1Cl	371.090	4.834	38.330	2.000	1.000	7.000
CCCCC1=CC(COc2ccc(O)c(CC)c2)=COC1=Cc1ccccc1	376.204	6.405	38.690	3.000	1.000	8.000
COc1ccc(C(=O)Cc2cccnc2)cc1C(=O)NCCc1ccccc1	374.163	3.488	68.290	4.000	1.000	8.000
CCCN1CCC(NCc2ccccc2C(=O)O)C(CC(C)C)CC1C	360.278	4.400	52.570	3.000	2.000	8.000
CCC(Cc1ccccc1)Oc1ccc(CCN2CC3CCCC3C2=O)cc1	377.235	4.888	29.540	2.000	0.000	8.000
Cc1sc(C=Cc2ccc(OCCN)cc2)cc1Cc1ccccc1C(=O)O	393.140	4.853	72.550	4.000	2.000	8.000
CCC(=O)N(CCc1ccc(CC(C)(C)CCC(=O)O)cc1)c1ccccc1	381.230	5.106	57.610	2.000	1.000	10.000
CC(C(=O)O)C1CCc2ccc(OCCCCc3c[nH]c4ccccc34)cc2C1	391.215	5.395	62.320	2.000	2.000	8.000
CCCOC(=O)CCc1[nH]c2ccccc2c1Cc1ccc(OC(F)F)cc1	387.165	5.246	51.320	3.000	1.000	9.000
CCCCN1C(=O)c2cccc(C=CC(=O)c3ccccc3)c2CC1CC(=O)O	391.178	4.224	74.680	3.000	1.000	8.000
Cc1cc(Cc2ccc(OCCc3ccccc3)cc2)cc(OCC(C)C)c1	374.225	6.242	18.460	2.000	0.000	9.000
CN1c2cc(-c3ccc(CCc4ccccc4)cc3)ccc2CC1CCC(=O)O	385.204	5.365	40.540	2.000	1.000	7.000
Nc1cc(CNc2ccc(N(Cc3ccccc3)CC3CCCC3)cc2)ccn1	386.247	5.473	54.180	4.000	2.000	8.000
COCC1CCN(Cc2ccc(C(=O)c3ccccc3C(=O)CCCCF)cc2)C1	411.221	4.708	46.610	4.000	0.000	11.000
COc1cc(CC(=O)O)ccc1Cc1ccccc1C(=O)NCc1ccccc1	389.163	3.843	75.630	3.000	2.000	8.000
CCC1=C(CC2=CC=CC(CCC(=O)O)C=C2)c2cc3c(cc21)C(C)=CCC3O	388.204	6.085	57.530	2.000	2.000	6.000
CC(=NCCOc1ccc2c(c1)CCC2=O)c1ccccc1CCCC(=O)O	379.178	4.111	75.960	4.000	1.000	9.000
Cc1sc(CCc2ccccc2)nc1CCc1ccc(CC(C)(C)CO)cc1	393.213	5.583	33.120	3.000	1.000	9.000
CCCCCCC1=C(CC(=O)O)CCC2C=C1N(CCCCC)C(=S)C2	377.239	6.245	40.540	2.000	1.000	11.000
CCc1ccccc1COC(=O)CNCCc1ccc(C(=O)NC(C)C)cc1	382.226	3.263	67.430	4.000	2.000	10.000
CCCC1=Nc2ccc(C(CC)C(=O)c3ccccc3)cc2C1=CC(=O)O	361.168	5.417	66.730	3.000	1.000	7.000
CCc1cc(COC(Cc2ccccc2)C(C)(C)C(=O)O)ccc1C(C)=O	368.199	4.690	63.600	3.000	1.000	9.000
O=C(CCc1ccccc1)C(NCc1cc(F)ccc1CO)c1ccccc1	377.179	4.351	49.330	3.000	2.000	9.000
CC(C)(CCC(=O)F)C(=O)C(c1ccc(F)cc1)c1cccc(C(=O)O)c1	374.133	4.527	71.440	3.000	1.000	8.000
CCOc1cc(CC)c(CC=Cc2ccc(OC)cc2)cc1CC(=O)O	354.183	4.539	55.760	3.000	1.000	9.000
CC1=CC=C2NC(=C1)CC(=O)NC1CCCC1COc1cc(OCCCF)ccc12	412.216	4.267	59.590	4.000	2.000	4.000
COc1ccc(CC(=O)C=Cc2ccccc2C(=O)O)cc1CC(F)F	360.117	4.026	63.600	3.000	1.000	8.000
CC(OC1=CC(OC(=Cc2cccc(F)c2)C(=O)O)=C1)c1cccc(F)c1	370.102	4.966	55.760	3.000	1.000	7.000
COc1cc(C(=O)N(CCC(=O)O)CCc2ccccc2)ccc1Br	405.058	3.617	66.840	3.000	1.000	8.000
CCCCC1CCc2cc(OCCC(=O)C(=O)c3ccc(F)c(F)c3)ccc21	386.169	5.406	43.370	3.000	0.000	9.000
CCC(C(=O)CF)=C(O)c1ccc(CC=C(Cc2ccccc2)C(=O)O)cc1	382.158	4.701	74.600	3.000	2.000	9.000
CCc1cc(Cc2ccc(C(=O)CCc3ccccc3)cc2)ccc1C(N)=O	371.189	4.754	60.160	2.000	1.000	8.000
COCc1ccc(CCNC(=O)N(Cc2ccccc2)Cc2ccccc2)cc1	388.215	4.788	41.570	2.000	1.000	9.000
NCc1cc(C(=O)O)ccc1CCC(Cc1ccccc1)c1ccccc1	359.189	4.803	63.320	2.000	2.000	8.000
CCC(C)(C)c1cc(CCOc2cccc(CC(=O)O)c2)ccc1OC	356.199	4.631	55.760	3.000	1.000	9.000
