smiles	MW	LogP	TPSA	HBA	HBD	RotB
O=C(Cc1ccc(C(F)(F)F)cc1)c1c(O)ccc2ccccc12	330.087	4.990	37.300	2.000	1.000	3.000
CC(=O)NCC1=CC(C)(C)c2ccc(C3CCCCC3C(=O)O)cc21	341.199	3.856	66.400	2.000	2.000	4.000
CC1CN(c2ccccc2F)CCN1CC1CSc2ccc(Cl)cc2C1=O	404.113	4.594	23.550	4.000	0.000	3.000
CC#CC1=NC(NC(=O)C2CCC3(C)C2CCC3(Br)c2ccccc2)=C1Cl	444.060	5.105	41.460	2.000	1.000	3.000
Nc1ccc2[nH]c(=O)c(CN3CCCCC3c3ccccc3)cc2c1	333.184	3.838	62.120	3.000	2.000	3.000
Cc1c(Cl)cccc1C1CN(CC2CC2)CC1C(=O)NC1CN1	333.161	2.119	54.280	3.000	2.000	5.000
CCc1cc(C(=O)NC2CC(F)(F)CN2Cc2ccccc2)c[nH]1	333.165	3.174	48.130	2.000	2.000	5.000
CC1=C2C(=O)CC(C3OCCCCC3(C)C)CCC2(C)C1CCc1ccc(O)cc1O	426.277	5.948	66.760	4.000	2.000	4.000
Cc1nc2c(s1)N1CCN1CC=C(C(F)(F)F)C1=C2C(c2ccc(Cl)cc2)CC1	437.094	5.975	19.370	4.000	0.000	1.000
COc1cccc(Cc2cccc(-c3cccnc3)c2Cl)c1	309.092	5.001	22.120	2.000	0.000	4.000
CCOC(=O)c1cccc(-c2n[nH]c3cccc(Br)c23)c1	344.016	4.169	54.980	3.000	1.000	3.000
Cc1cc(NCC(N)C(=O)O)cc(-c2ccc(Cl)cc2-c2ccc(-c3ccccc3)cc2)c1	456.160	6.473	75.350	3.000	3.000	7.000
CC1=NN(C(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(c2ccccc2)N1C	430.123	5.536	47.940	3.000	1.000	2.000
N#Cc1ccccc1NN(c1ccccc1Cl)C1CCCCC1	325.135	5.378	39.060	3.000	1.000	4.000
CC(=O)N1CCC(NC(=O)NN2CC3(CCCC3)c3c2ccc(Cl)c3Cl)CC1	424.143	3.850	64.680	3.000	2.000	2.000
CCC(=O)NC1CCC(CNC(=O)c2ccc(Cl)cc2)CC1C	336.160	3.401	58.200	2.000	2.000	5.000
CN1CCC(C#CC(O)S(=O)(=O)C2CC3CCCC2c2ccccc23)CC(F)(F)C1	437.184	3.524	57.610	4.000	1.000	2.000
O=C1NC(CN2CCC2)c2ccccc2C(Br)=C1Cl	339.998	2.866	32.340	2.000	1.000	2.000
CCC(C)C1(C)c2ccc(C#N)cc2CC1c1c[nH]c2cccnc12	329.189	5.078	52.470	2.000	1.000	3.000
CC1C2(C)C3CC(C)(CS1(=O)=O)C2CCc1ccccc13	304.150	3.566	34.140	2.000	0.000	0.000
CC(=O)N1CCC1Cc1ccc(N(C)Cc2ccccc2)cc1Cl	342.150	4.140	23.550	2.000	0.000	5.000
Cc1ccncc1CNCCCC(C)N1Cc2ccccc2-c2ccccc21	371.236	5.336	28.160	3.000	1.000	7.000
O=[SH]1(C=Cc2cc(F)c[nH]2)Nc2ccc(NCc3ccccc3)cc21	355.115	4.153	56.920	2.000	4.000	5.000
CS(=O)(=O)c1cc2cc(CN3CCCCC3)ccc2c2ccccc12	353.145	4.382	37.380	3.000	0.000	3.000
CCC(C#N)C1C(=O)C(O)=C(c2ccccc2)C1C1CCCN(C2CCC(F)(F)CC2)C1	442.243	5.610	64.330	4.000	1.000	5.000
COc1ccccc1CC1CC(C)(C)CNC1C(=O)C(F)(F)F	329.160	3.373	38.330	3.000	1.000	4.000
O=C(O)c1ccc(Cl)c(-c2ccc(Br)cc2)c1	309.940	4.468	37.300	1.000	1.000	2.000
CC1CCCC2(C)CCC(CNC(=O)C3CC3C3CCC(C)(C)CC3(C)C)NC(=O)C2C1	444.372	5.702	58.200	2.000	2.000	4.000
Cc1cc(Cl)ccc1CCC(=O)NC(C)C(=O)N1CCC(F)C1	340.135	2.656	49.410	2.000	1.000	5.000
NC1CCc2nc(Nc3ccccc3)c(-c3ccc(N4CCCCC4)cc3)c(Cl)c21	418.192	6.082	54.180	4.000	2.000	4.000
CC(=O)CCC1=CC(Br)=Cc2ccccc2C1CN1CCC1	359.088	4.521	20.310	2.000	0.000	5.000
CNc1ccc(N2CCC(F)(F)CC2)cc1C(=O)Nc1ccc2c(c1)CCN(C1CCCC1)C2	468.270	5.517	47.610	4.000	2.000	5.000
Oc1cc(-c2cnccc2-c2cc(F)cc(F)c2)ccc1Cl	317.042	5.053	33.120	2.000	1.000	2.000
Cn1c(C#Cc2c[nH]cn2)c(F)c(F)c1CC1=CCCCC1c1ccccc1	377.170	4.863	33.610	2.000	1.000	3.000
NC1=C2CNC2=NC(c2ccccc2Cl)CC1CCCF	307.125	3.365	50.410	3.000	2.000	4.000
COc1ccccc1C1CN(C)CN2CCN3CCC4(CCCCC4(C)CCC32C)C1	425.341	5.156	18.950	4.000	0.000	2.000
Cc1ccc2c(CCCC3CCNC3)c(-c3ccccc3)[nH]c2c1C1CC1	358.241	5.953	27.820	1.000	2.000	6.000
COc1ccc(N(c2ccc(Br)cc2)N(C)C)cc1C	334.068	4.381	15.710	3.000	0.000	4.000
CNC(=O)Cc1cccc2[nH]c(-c3ccc4[nH]ccc4c3)cc12	303.137	3.605	60.680	1.000	3.000	3.000
CC(C)NCc1ccc(C#N)c(-c2cccc(Cl)c2)c1-c1ccc[nH]1	349.135	5.372	51.610	2.000	2.000	5.000
CC1=CC=C2C=C(C(=O)C3CCC(NCC(F)(F)F)C3)C=CN2N1	339.156	2.938	44.370	4.000	2.000	4.000
[NH]C(=O)c1cccc2c1CC2=NNC(=O)c1ccc2ccccc2c1	328.109	2.953	82.330	3.000	1.000	3.000
CCCN(CC)c1ccc(CN2CCN(c3ccccc3)CC2)cc1	337.252	4.245	9.720	3.000	0.000	7.000
CC1=C=C(C(=O)C2=C(C)CSC2)SC=C1NCc1ccccc1	341.091	4.426	29.100	4.000	1.000	5.000
CN1C(c2cn(CC3CCCC3)c3c(Br)cc(F)cc23)=C2CC(F)(F)CC21	438.092	6.187	8.170	2.000	0.000	3.000
CC1(O)CCc2cc(Br)ccc2N(c2c(F)ccc3ccccc23)S1	417.020	6.182	23.470	3.000	1.000	1.000
CC(=O)N1CCc2cc(C(C)(C)CN3CCCC3c3ccccc3)ccc21	362.236	4.710	23.550	2.000	0.000	4.000
CCc1ccccc1C1(C2CCN(c3ncccc3C(N)=O)CC2)C(=O)NC1(C)C	406.237	2.806	88.320	4.000	2.000	5.000
CCCN(CC)C1CCN(C)c2ccc(Cl)c(Cl)c2C1	314.132	4.476	6.480	2.000	0.000	4.000
O=C(c1ccc(O)c(O)c1)C(Sc1ccccc1)c1cccc(F)c1	354.073	4.953	57.530	4.000	2.000	5.000
CC1=CC(CNC(=O)C2CC(N(C)C(=O)Nc3ccc(F)c(F)c3)=C2C)CCC1(C)C	431.238	5.221	61.440	2.000	2.000	5.000
CC#CCC(O)C1CCC(NC(=O)NC2CCC(c3ccc(F)cc3F)CC2C(C)C)CC1	460.290	5.505	61.360	2.000	3.000	6.000
CCNc1cc2cnc(-c3cccc(NC(=O)NC4CCCCCC4)c3)cc2c2ccccc12	452.258	7.331	66.050	3.000	3.000	5.000
OC1=NC(CNC2CC3CCC2C3)=C(c2ccc(F)c(F)c2)C2CC12	344.170	4.060	44.620	2.000	2.000	4.000
CC1(CNC(=O)C2CCC(CCC(=O)OC(C)(C)C)C2)CCCCC1	351.277	4.611	55.400	3.000	1.000	6.000
Cc1ccccc1C(=O)C1CCCC1(CC1CCCCCC1)NC1=CC=C1	363.256	6.120	29.100	2.000	1.000	6.000
CC1=CC=CC1=CC=C1CNC2=C1CN(C)C=C2Br	316.058	3.394	15.270	2.000	1.000	1.000
CNc1cc(C(F)(F)F)ccc1N1CCCN(Cc2ccc(C(=O)NC3CC3)cc2)CC1	446.229	4.352	47.610	4.000	2.000	6.000
Nc1ccc(C(=O)NC2CC3CCC2C3Cc2ccc(F)cc2)cc1	338.179	3.795	55.120	2.000	2.000	4.000
COC1=CC(C2(C)CC3C(=CC=C3C(=O)NCC(N)Cc3ccc(F)cc3F)N2)CC1	429.223	3.083	76.380	4.000	3.000	7.000
O=S(=O)(NCCCCC(F)(F)F)NC1=CC=CC2=CN1c1ccc(Cl)cc1C2	433.084	4.154	61.440	3.000	2.000	7.000
CC1=CC(F)=C2C=CC=C3C(=C1)C(CN1CCC4(CC1)NCc1cc(F)ccc14)CCN32	433.233	5.063	18.510	3.000	1.000	2.000
O=C(C=CC1=Nc2ccc(Cl)cc2C1)C1CCNCC1CC1CC1	342.150	4.120	41.460	3.000	1.000	5.000
CNC(=O)C1CCCN1C(=O)N1CCN(C(C)(C)c2ccccc2Br)c2ccccc21	484.147	4.341	55.890	3.000	1.000	3.000
Cc1ccc2c(c1)CC(NC(=O)c1cccc(-c3ccc[nH]3)c1)C2	316.158	3.887	44.890	1.000	2.000	3.000
OC(CCSc1ccccc1)c1ccccc1C(F)(F)F	312.080	4.921	20.230	2.000	1.000	5.000
CC(F)=C(Br)C1NC(=S)SC1=C(C)CC(C)C	336.997	4.892	12.030	2.000	1.000	3.000
CC1=CC(=O)c2cc(C(F)(F)F)cc(-c3cnc(-c4cccc(Cl)c4)nc3)c21	400.059	6.082	42.850	3.000	0.000	2.000
O=C1CC2CCC3=CC=C(CCN(CC2)N1)C1CC(O)CC1CC3	330.231	2.947	52.570	3.000	2.000	0.000
Cc1c(Cl)cccc1C1CC2=C(C=CN(C)C=C2Cl)C1=O	319.053	4.541	20.310	2.000	0.000	1.000
O=C(C1CC1)N(c1ccc(Cl)cc1)c1ccc(Cl)cc1	305.037	5.068	20.310	1.000	0.000	3.000
NCc1c(Nc2ccc(C(F)(F)F)cc2N)ccc(F)c1F	317.095	3.768	64.070	3.000	3.000	3.000
CCC1=CNC2=CC=C(c3c[nH]nc3-c3ccc(C(F)(F)C(F)(F)F)cc3)C(CC)=C1N2	448.169	6.120	52.740	3.000	3.000	5.000
O=C1C=C(N2CCN(c3ccc(-c4ccc(F)cc4)c4ccccc34)c3ccccc32)C1	420.164	6.461	23.550	3.000	0.000	3.000
Cn1c(=O)c(C23CC4CC(CC(C4)C2)C3)cn1-c1ccc(C(F)(F)F)c(Cl)c1	410.137	5.316	26.930	3.000	0.000	2.000
CC(Cc1cc(F)cc(F)c1F)CN1C(=O)CCc2ccc(O)cc21	349.129	3.968	40.540	2.000	1.000	4.000
CC(C)N1CC(O)C2C(=O)C(c3ccc(Cl)c(Cl)c3)C(c3ccc(Cl)cc3)C21	437.072	5.167	40.540	3.000	1.000	3.000
COc1cc(Cl)c(Cl)cc1C1=C(N(C)N(C)Nc2[nH]cnc2F)c2ccccc21	433.087	4.900	56.420	5.000	2.000	6.000
CCC1c2cc(C)c(C(=O)CCCN3CCc4ccccc43)cc2C1C	347.225	5.631	20.310	2.000	0.000	6.000
CC(C)C1=CC=C2CC1=CC=C2c1cccc(N(CCN(C)C)N(C)C)c1	363.267	4.767	9.720	3.000	0.000	7.000
COC1=CC=C2NC(=O)C(CC(=Cc3ccccc3)C3CCCCC3)=C21	347.189	4.895	38.330	2.000	1.000	5.000
COc1c(CCN(C)C)cc(Br)c2c1C(=O)CCC2	325.068	3.081	29.540	3.000	0.000	4.000
Nc1ccc(C2CC(Cc3ccccc3)(CC(N)Cc3ccccc3)C(=O)C2C2CC2)cc1	438.267	5.541	69.110	3.000	2.000	8.000
CC(=O)N1CCC2CC(C1)C(c1ccc(OCCCN(C)C)cc1)N2	345.242	2.288	44.810	4.000	1.000	6.000
CC1=C(C#N)CCC2(c3ccc(N4CCC(c5ccccc5)C4=O)cc3Cl)CC12	402.150	5.752	44.100	2.000	0.000	3.000
CC1=CC=C(N(C)C2CC3CCC(C2)N3CC(F)(F)F)C2CCC3(CC2)CC1CN3	423.286	4.858	18.510	3.000	1.000	3.000
O=C(Nc1cc(C(F)(F)F)ccc1CN1CCCC1)C1C=CC=CN(Cc2ccc[nH]2)CC1	458.229	5.160	51.370	3.000	2.000	6.000
CC(=NNC(=O)c1ccc(-c2ccccc2)nc1)C1(C)CCCC1	321.184	4.435	54.350	3.000	1.000	4.000
CC(=O)NC1CC(C(=O)NC2(c3ccccc3)CCNCC2)c2cc(-c3ccccc3)ccc21	453.242	4.413	70.230	3.000	3.000	5.000
Cc1ccc(Cl)cc1CNc1c2c(nc3ccc(Br)cc13)C(=O)NC2=O	428.988	4.455	71.090	4.000	2.000	3.000
CC1=NN(c2ccc(C)cc2)C=C(Cl)C1N1C=C2C(CCN2C2CCC(F)(F)CC2)C1	446.205	5.697	22.080	4.000	0.000	3.000
O=C(CN1CCC(O)CC1)NC1CC1Cc1ccc(Cl)cc1Cl	356.106	2.497	52.570	3.000	2.000	5.000
CCC1Cc2c(cccc2N(C)C)CCCC2CC(n3c(=O)[nH]c4ccccc43)CCN2C1	446.305	5.006	44.270	4.000	1.000	3.000
COc1ccc(CN2c3ccc(-c4ccc(Br)cc4)cc3C3COC32)cc1	421.068	5.585	21.700	3.000	0.000	4.000
COc1ccc2[nH]cc(CC(C)(C)Cc3ccc(Br)cc3)c2c1	371.088	5.750	25.020	1.000	1.000	5.000
CC1CNC(Cc2ccccc2)(c2cccnc2)CC1c1ccccc1	342.210	4.933	24.920	2.000	1.000	4.000
CCC1CCN(c2nc3cc(Cl)cc(Cl)c3[nH]2)CCN1	312.091	3.448	43.950	3.000	2.000	2.000
CC1=NC(O)(c2cc(Cl)c(Cl)c(Cl)c2Cl)CCC1	324.959	5.090	32.590	2.000	1.000	1.000
CC(C)C(Cc1cccc(Cl)c1)C(=O)N1CCCC1CCC#N	332.166	4.449	44.100	2.000	0.000	6.000
CSc1c(C(=O)CCCc2ccc(Cl)cc2)[nH]c2c1CCCC2	347.111	5.474	32.860	2.000	1.000	6.000
N#CC1CCN(c2ccncc2)CC1CC(F)(F)F	269.114	3.000	39.920	3.000	0.000	2.000
CC1C(CCN(C)C)CN(C)C2CCC13CCCCC3(C)C2	306.303	4.255	6.480	2.000	0.000	3.000
